rank	status	kind	normalized	sample	token_frequency	document_frequency	corpora	source_ids	partitions	candidate_lexeme_ids	requested_morphological_system	missing_metadata	contexts	suggested_action
20	unresolved	unknown-lexeme	хрⷭ҇товъ	хрⷭ҇то́въ	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.1@Col.1.1:1:25 ъ і҆и҃съ хрⷭ҇то́въ во́лею	review the token against target-recension evidence and create or reject a lexical candidate
21	unresolved	unknown-lexeme	ѡбѣтованїѧ	ѡ҆бѣтова́нїѧ	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	source				ponomar-elizabeth-bible-2026-08-09:Acts.1.4@Acts.1.4:1:75 о жда́ти ѡ҆бѣтова́нїѧ ѻ҆́ч҃а,	review the token against target-recension evidence and create or reject a lexical candidate
22	unresolved	unknown-lexeme	ѳеофїле	ѳео́фїле	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation				ponomar-elizabeth-bible-2026-08-09:Acts.1.1@Acts.1.1:1:60 ѣ́хъ, ѽ, ѳео́фїле, ꙗ҆̀же	review the token against target-recension evidence and create or reject a lexical candidate
23	unresolved	unknown-lexeme	ѹпованїе	ѹ҆пова́нїе	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.5@Col.1.5:1:4 за ѹ҆пова́нїе ѿложе́н	review the token against target-recension evidence and create or reject a lexical candidate
24	unresolved	unknown-lexeme	ѻч҃а	ѻ҆́ч҃а	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	source				ponomar-elizabeth-bible-2026-08-09:Acts.1.4@Acts.1.4:1:88 това́нїѧ ѻ҆́ч҃а, є҆́же	review the token against target-recension evidence and create or reject a lexical candidate
25	unresolved	unknown-lexeme	ѿложенное	ѿложе́нное	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source				wikisource-church-slavonic-bible-2026-08-09:Col.1.5@Col.1.5:1:15 пова́нїе ѿложе́нное ва́мъ н	review the token against target-recension evidence and create or reject a lexical candidate
26	unresolved	unknown-lexeme	ѿлꙋчатисѧ	ѿлꙋча́тисѧ	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	source				ponomar-elizabeth-bible-2026-08-09:Acts.1.4@Acts.1.4:1:53 ли́ма не ѿлꙋча́тисѧ, но жда	review the token against target-recension evidence and create or reject a lexical candidate
27	unresolved	unknown-lexeme	ꙗвлѧѧсѧ	ꙗ҆влѧ́ѧсѧ	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation				ponomar-elizabeth-bible-2026-08-09:Acts.1.3@Acts.1.3:1:121 десѧтьми ꙗ҆влѧ́ѧсѧ и҆̀мъ и	review the token against target-recension evidence and create or reject a lexical candidate
28	unresolved	missing-accent-or-orthographic-metadata	знаменїихъ	зна́менїихъ	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	evaluation	synodal:noun:v06-673b2df93b4f89a8	noun	AccentClass	ponomar-elizabeth-bible-2026-08-09:Acts.1.3@Acts.1.3:1:84 стинныхъ зна́менїихъ, де́ньм	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
29	unresolved	missing-accent-or-orthographic-metadata	слышавше	слы́шавше	1	1	Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	source	synodal:verb:v12-slyshati	past-active-participle	AccentClass	wikisource-church-slavonic-bible-2026-08-09:Col.1.4@Col.1.4:1:1 слы́шавше вѣ́рꙋ в	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
30	unresolved	missing-accent-or-orthographic-metadata	ꙗдый	ꙗ҆ды́й	1	1	Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	source	synodal:verb:wikt-6ceeefbe4e9e	present-active-participle	AccentClass	ponomar-elizabeth-bible-2026-08-09:Acts.1.4@Acts.1.4:1:15 ́миже и҆ ꙗ҆ды́й повелѣ̀	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
