rank	kind	normalized	sample	frequency	document_frequency	candidate_lexeme_ids	suggested_action
14	ambiguity-or-spelling-variant	горе	го́ре	238	198	synodal:adverb:wikt-4f4b6240f36e	review whether this is a permitted Synodal spelling variant, abbreviation, or distinct lexeme
15	missing-accent-or-orthographic-metadata	неправды	непра́вды	225	215	synodal:noun:v12-nepravda	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
16	ambiguity-or-spelling-variant	вїно	вїно̀	221	207	synodal:noun:v06-b656255241f904d4,synodal:noun:vino	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
17	unknown-lexeme	двєри	двє́ри	218	208		review the token against target-recension evidence and create or reject a lexical candidate
18	ambiguity-or-spelling-variant	вѣсть	вѣ́сть	213	207	synodal:noun:wikt-3def1355a9a6,synodal:verb:wikt-8a084860d2ef	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
19	unknown-lexeme	ꙗвисѧ	ꙗ҆ви́сѧ	213	205		review the token against target-recension evidence and create or reject a lexical candidate
20	unknown-lexeme	ѡполчишасѧ	ѡ҆полчи́шасѧ	213	197		review the token against target-recension evidence and create or reject a lexical candidate
21	unknown-lexeme	нѣцыи	нѣ́цыи	211	203		review the token against target-recension evidence and create or reject a lexical candidate
22	unknown-lexeme	предаде	предадѐ	207	203		review the token against target-recension evidence and create or reject a lexical candidate
23	unknown-lexeme	востани	воста́ни	204	183		review the token against target-recension evidence and create or reject a lexical candidate
24	missing-accent-or-orthographic-metadata	лактей	ла́ктей	200	119	synodal:noun:v12-lakot	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
25	unknown-lexeme	воньже	во́ньже	198	186		review the token against target-recension evidence and create or reject a lexical candidate
26	unknown-lexeme	жєртвы	жє́ртвы	193	187		review the token against target-recension evidence and create or reject a lexical candidate
27	ambiguity-or-spelling-variant	свои	своѝ	193	187	synodal:pronoun:svoi,synodal:pronoun:wikt-a574507d33e1	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
28	unknown-lexeme	іꙋдеє	і҆ꙋде́є	192	192		review the token against target-recension evidence and create or reject a lexical candidate
29	unknown-lexeme	іꙋдеи	і҆ꙋде́и	190	188		review the token against target-recension evidence and create or reject a lexical candidate
30	ambiguity-or-spelling-variant	имамъ	и҆́мамъ	188	174	synodal:verb:imati,synodal:verb:wikt-0c6c8db63b7c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
31	unknown-lexeme	лакѡтъ	лакѡ́тъ	185	116		review the token against target-recension evidence and create or reject a lexical candidate
32	unknown-lexeme	нечестивыхъ	нечести́выхъ	184	182		review the token against target-recension evidence and create or reject a lexical candidate
33	missing-accent-or-orthographic-metadata	возвѣсти	возвѣстѝ	182	174	synodal:verb:vozvestiti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
34	unknown-lexeme	иноплемєнницы	и҆ноплемє́нницы	181	167		review the token against target-recension evidence and create or reject a lexical candidate
35	unknown-lexeme	изведе	и҆зведѐ	178	178		review the token against target-recension evidence and create or reject a lexical candidate
36	unknown-lexeme	нача	нача̀	176	174		review the token against target-recension evidence and create or reject a lexical candidate
37	unknown-lexeme	єлицы	є҆ли́цы	173	165		review the token against target-recension evidence and create or reject a lexical candidate
38	unknown-lexeme	далече	дале́че	171	169		review the token against target-recension evidence and create or reject a lexical candidate
39	unknown-lexeme	премꙋдрости	премꙋ́дрости	170	169		review the token against target-recension evidence and create or reject a lexical candidate
40	unknown-lexeme	господинꙋ	господи́нꙋ	170	162		review the token against target-recension evidence and create or reject a lexical candidate
41	unknown-lexeme	єзекіа	є҆зекі́а	170	160		review the token against target-recension evidence and create or reject a lexical candidate
42	unknown-lexeme	ѻлтарѧ	ѻ҆лтарѧ̀	169	145		review the token against target-recension evidence and create or reject a lexical candidate
43	unknown-lexeme	паѵелъ	па́ѵелъ	166	166		review the token against target-recension evidence and create or reject a lexical candidate
44	unknown-lexeme	творѧй	творѧ́й	166	162		review the token against target-recension evidence and create or reject a lexical candidate
45	unknown-lexeme	оучн҃цы	ᲂу҆чн҃цы̀	165	156		review the token against target-recension evidence and create or reject a lexical candidate
46	unknown-lexeme	воцарисѧ	воцари́сѧ	164	164		review the token against target-recension evidence and create or reject a lexical candidate
47	unknown-lexeme	ѡправданїѧ	ѡ҆правда̑нїѧ	164	158		review the token against target-recension evidence and create or reject a lexical candidate
48	unknown-lexeme	лꙋчше	Лꙋ́чше	163	161		review the token against target-recension evidence and create or reject a lexical candidate
49	ambiguity-or-spelling-variant	имате	и҆́мате	163	148	synodal:verb:imati,synodal:verb:wikt-0c6c8db63b7c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
50	unknown-lexeme	оушы	ᲂу҆́шы	163	146		review the token against target-recension evidence and create or reject a lexical candidate
51	unknown-lexeme	богатство	бога́тство	157	154		review the token against target-recension evidence and create or reject a lexical candidate
52	unknown-lexeme	блгⷭ҇венъ	блгⷭ҇ве́нъ	156	155		review the token against target-recension evidence and create or reject a lexical candidate
53	unknown-lexeme	введе	введѐ	155	153		review the token against target-recension evidence and create or reject a lexical candidate
54	unknown-lexeme	сонмѡмъ	со́нмѡмъ	154	152		review the token against target-recension evidence and create or reject a lexical candidate
55	unknown-lexeme	каменїемъ	ка́менїемъ	154	150		review the token against target-recension evidence and create or reject a lexical candidate
56	unknown-lexeme	ѻвна	ѻ҆вна̀	154	148		review the token against target-recension evidence and create or reject a lexical candidate
57	unknown-lexeme	слꙋжити	слꙋжи́ти	153	148		review the token against target-recension evidence and create or reject a lexical candidate
58	unknown-lexeme	сꙋббѡты	сꙋббѡ́ты	153	138		review the token against target-recension evidence and create or reject a lexical candidate
59	unknown-lexeme	погꙋбити	погꙋби́ти	152	150		review the token against target-recension evidence and create or reject a lexical candidate
60	ambiguity-or-spelling-variant	имаши	и҆́маши	150	143	synodal:verb:imati,synodal:verb:wikt-0c6c8db63b7c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
61	unknown-lexeme	ѻрꙋжїе	ѻ҆рꙋ́жїе	150	142		review the token against target-recension evidence and create or reject a lexical candidate
62	unknown-lexeme	навꙋходоносоръ	навꙋходоно́соръ	149	145		review the token against target-recension evidence and create or reject a lexical candidate
63	unknown-lexeme	царева	царе́ва	148	144		review the token against target-recension evidence and create or reject a lexical candidate
64	unknown-lexeme	ѻньже	ѻ҆́ньже	147	141		review the token against target-recension evidence and create or reject a lexical candidate
65	unknown-lexeme	велїй	ве́лїй	145	144		review the token against target-recension evidence and create or reject a lexical candidate
66	unknown-lexeme	богѡвъ	богѡ́въ	145	137		review the token against target-recension evidence and create or reject a lexical candidate
67	unknown-lexeme	врагѡвъ	врагѡ́въ	144	140		review the token against target-recension evidence and create or reject a lexical candidate
68	unknown-lexeme	ѡдеснꙋю	ѡ҆деснꙋ́ю	143	141		review the token against target-recension evidence and create or reject a lexical candidate
69	ambiguity-or-spelling-variant	поли	по́ли	142	142	synodal:noun:v06-ba5b8abd7b0756e9,synodal:numeral:fractional-pol	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
70	unknown-lexeme	сімѡнъ	сі́мѡнъ	140	140		review the token against target-recension evidence and create or reject a lexical candidate
71	unknown-lexeme	веселїе	весе́лїе	140	138		review the token against target-recension evidence and create or reject a lexical candidate
72	missing-accent-or-orthographic-metadata	скорби	ско́рби	140	136	synodal:noun:v07-4ea57e089679d12a	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
73	unknown-lexeme	дверїй	две́рїй	140	127		review the token against target-recension evidence and create or reject a lexical candidate
74	ambiguity-or-spelling-variant	нѣкїй	нѣ́кїй	138	138	synodal:pronoun:nekii	review whether this is a permitted Synodal spelling variant, abbreviation, or distinct lexeme
75	unknown-lexeme	сонъ	со́нъ	138	122		review the token against target-recension evidence and create or reject a lexical candidate
76	unknown-lexeme	ѻтцы	ѻ҆тцы̑	138	122		review the token against target-recension evidence and create or reject a lexical candidate
77	unknown-lexeme	вєси	вє́си	138	103		review the token against target-recension evidence and create or reject a lexical candidate
78	unknown-lexeme	тꙋкъ	тꙋ́къ	138	100		review the token against target-recension evidence and create or reject a lexical candidate
79	missing-accent-or-orthographic-metadata	ѻнꙋ	ѻ҆нꙋ̀	137	135	synodal:pronoun:on	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
80	unknown-lexeme	прѡчаѧ	прѡ́чаѧ	136	136		review the token against target-recension evidence and create or reject a lexical candidate
81	unknown-lexeme	восташа	Воста́ша	136	134		review the token against target-recension evidence and create or reject a lexical candidate
82	missing-accent-or-orthographic-metadata	знамєнїѧ	зна́мєнїѧ	136	134	synodal:noun:v06-673b2df93b4f89a8	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
83	unknown-lexeme	талантъ	тала̑нтъ	136	101		review the token against target-recension evidence and create or reject a lexical candidate
84	unknown-lexeme	вѣнецъ	вѣне́цъ	134	134		review the token against target-recension evidence and create or reject a lexical candidate
85	unknown-lexeme	велїимъ	ве́лїимъ	132	131		review the token against target-recension evidence and create or reject a lexical candidate
86	unknown-lexeme	ѿкꙋдꙋ	ѿкꙋ́дꙋ	131	123		review the token against target-recension evidence and create or reject a lexical candidate
87	unknown-lexeme	воздвигошасѧ	воздвиго́шасѧ	130	128		review the token against target-recension evidence and create or reject a lexical candidate
88	unknown-lexeme	ѿстꙋпи	ѿстꙋпѝ	130	126		review the token against target-recension evidence and create or reject a lexical candidate
89	ambiguity-or-spelling-variant	аарѡна	а҆арѡ́на	130	126	synodal:proper-noun:aaron,synodal:proper-noun:wikt-246df9e425fa	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
90	unknown-lexeme	нечистъ	нечи́стъ	130	118		review the token against target-recension evidence and create or reject a lexical candidate
91	unknown-lexeme	внезапꙋ	внеза́пꙋ	129	127		review the token against target-recension evidence and create or reject a lexical candidate
92	unknown-lexeme	мꙋки	мꙋкѝ	129	125		review the token against target-recension evidence and create or reject a lexical candidate
93	ambiguity-or-spelling-variant	тысѧща	ты́сѧща	129	119	synodal:noun:v07-478d442bd0465a8b,synodal:numeral:tysiascha	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
94	unknown-lexeme	имѣнїѧ	и҆мѣ́нїѧ	128	128		review the token against target-recension evidence and create or reject a lexical candidate
95	unknown-lexeme	прїѧша	прїѧ́ша	128	128		review the token against target-recension evidence and create or reject a lexical candidate
96	unknown-lexeme	ꙗвитсѧ	ꙗ҆ви́тсѧ	128	128		review the token against target-recension evidence and create or reject a lexical candidate
97	unknown-lexeme	разгнѣвасѧ	разгнѣ́васѧ	128	126		review the token against target-recension evidence and create or reject a lexical candidate
98	unknown-lexeme	самаріи	самарі́и	128	126		review the token against target-recension evidence and create or reject a lexical candidate
99	unknown-lexeme	скоты	ско́ты	128	122		review the token against target-recension evidence and create or reject a lexical candidate
100	unknown-lexeme	цр҃ь	цр҃ь	128	117		review the token against target-recension evidence and create or reject a lexical candidate
101	unknown-lexeme	воздвиже	воздви́же	127	127		review the token against target-recension evidence and create or reject a lexical candidate
102	unknown-lexeme	прейде	пре́йде	127	121		review the token against target-recension evidence and create or reject a lexical candidate
103	unknown-lexeme	поклонисѧ	поклони́сѧ	126	126		review the token against target-recension evidence and create or reject a lexical candidate
104	missing-accent-or-orthographic-metadata	тыѧ	ты̑ѧ	126	118	synodal:pronoun:toi	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
105	unknown-lexeme	дрꙋгій	дрꙋгі́й	125	123		review the token against target-recension evidence and create or reject a lexical candidate
106	unknown-lexeme	кꙋпнѡ	кꙋ́пнѡ	125	123		review the token against target-recension evidence and create or reject a lexical candidate
107	unknown-lexeme	єлей	є҆ле́й	125	116		review the token against target-recension evidence and create or reject a lexical candidate
108	missing-accent-or-orthographic-metadata	взѧти	взѧ́ти	124	121	synodal:verb:v06-vzeti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
109	unknown-lexeme	покой	поко́й	123	119		review the token against target-recension evidence and create or reject a lexical candidate
110	unknown-lexeme	єлеа	є҆ле́а	122	122		review the token against target-recension evidence and create or reject a lexical candidate
111	missing-accent-or-orthographic-metadata	погибе	поги́бе	122	122	synodal:verb:v12-pogibnuti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
112	unknown-lexeme	ѡстанокъ	ѡ҆ста́нокъ	122	110		review the token against target-recension evidence and create or reject a lexical candidate
113	unknown-lexeme	прочїи	про́чїи	121	121		review the token against target-recension evidence and create or reject a lexical candidate
114	unknown-lexeme	іереміа	і҆еремі́а	121	119		review the token against target-recension evidence and create or reject a lexical candidate
115	unknown-lexeme	созади	созадѝ	121	115		review the token against target-recension evidence and create or reject a lexical candidate
116	unknown-lexeme	вселисѧ	всели́сѧ	121	113		review the token against target-recension evidence and create or reject a lexical candidate
117	ambiguity-or-spelling-variant	послꙋша	послꙋ́ша	120	120	synodal:verb:v06-72858c58897d9d01,synodal:verb:wikt-bbe1760d7910	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
118	unknown-lexeme	аможе	а҆́може	120	118		review the token against target-recension evidence and create or reject a lexical candidate
119	unknown-lexeme	наведꙋ	наведꙋ̀	120	118		review the token against target-recension evidence and create or reject a lexical candidate
120	unknown-lexeme	воздастъ	возда́стъ	120	112		review the token against target-recension evidence and create or reject a lexical candidate
121	unknown-lexeme	сонма	со́нма	117	117		review the token against target-recension evidence and create or reject a lexical candidate
122	unknown-lexeme	приложи	приложѝ	116	114		review the token against target-recension evidence and create or reject a lexical candidate
123	unknown-lexeme	прїидите	прїиди́те	116	114		review the token against target-recension evidence and create or reject a lexical candidate
124	unknown-lexeme	повѣда	повѣ́да	116	110		review the token against target-recension evidence and create or reject a lexical candidate
125	unknown-lexeme	наказанїе	наказа́нїе	115	113		review the token against target-recension evidence and create or reject a lexical candidate
126	ambiguity-or-spelling-variant	имамы	и҆́мамы	115	113	synodal:verb:imati,synodal:verb:wikt-0c6c8db63b7c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
127	unknown-lexeme	востанетъ	воста́нетъ	114	114		review the token against target-recension evidence and create or reject a lexical candidate
128	unknown-lexeme	приложитъ	приложи́тъ	114	114		review the token against target-recension evidence and create or reject a lexical candidate
129	unknown-lexeme	воистиннꙋ	вои́стиннꙋ	114	113		review the token against target-recension evidence and create or reject a lexical candidate
130	unknown-lexeme	іисꙋсꙋ	і҆исꙋ́сꙋ	114	108		review the token against target-recension evidence and create or reject a lexical candidate
131	unknown-lexeme	послѣднѧѧ	послѣ̑днѧѧ	113	113		review the token against target-recension evidence and create or reject a lexical candidate
132	unknown-lexeme	аммѡнихъ	а҆ммѡ́нихъ	112	110		review the token against target-recension evidence and create or reject a lexical candidate
133	unknown-lexeme	вавѷлѡнскїй	вавѷлѡ́нскїй	112	110		review the token against target-recension evidence and create or reject a lexical candidate
134	missing-accent-or-orthographic-metadata	великагѡ	вели́кагѡ	112	110	synodal:adjective:wikt-e406458f5df6	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
135	unknown-lexeme	вышше	вы́шше	110	108		review the token against target-recension evidence and create or reject a lexical candidate
136	unknown-lexeme	заповѣдаю	заповѣ́даю	110	108		review the token against target-recension evidence and create or reject a lexical candidate
137	unknown-lexeme	занеже	зане́же	109	109		review the token against target-recension evidence and create or reject a lexical candidate
138	unknown-lexeme	саꙋлꙋ	саꙋ́лꙋ	109	109		review the token against target-recension evidence and create or reject a lexical candidate
139	unknown-lexeme	колєсницы	колєсни́цы	108	108		review the token against target-recension evidence and create or reject a lexical candidate
140	unknown-lexeme	высокихъ	высо́кихъ	108	94		review the token against target-recension evidence and create or reject a lexical candidate
141	unknown-lexeme	ѡкрєстнаѧ	ѡ҆крє́стнаѧ	108	70		review the token against target-recension evidence and create or reject a lexical candidate
142	unknown-lexeme	повелѣнїѧ	повелѣ̑нїѧ	107	103		review the token against target-recension evidence and create or reject a lexical candidate
143	ambiguity-or-spelling-variant	чесѡ	чесѡ̀	107	101	synodal:pronoun:chto,synodal:pronoun:v06-a6e60a3f60e607cb	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
144	unknown-lexeme	первѣе	пе́рвѣе	106	106		review the token against target-recension evidence and create or reject a lexical candidate
145	unknown-lexeme	пойдꙋтъ	по́йдꙋтъ	106	106		review the token against target-recension evidence and create or reject a lexical candidate
146	unknown-lexeme	іереміи	і҆еремі́и	106	106		review the token against target-recension evidence and create or reject a lexical candidate
147	unknown-lexeme	пойте	по́йте	106	100		review the token against target-recension evidence and create or reject a lexical candidate
148	unknown-lexeme	начаша	нача́ша	106	99		review the token against target-recension evidence and create or reject a lexical candidate
149	unknown-lexeme	небєсныѧ	небє́сныѧ	105	105		review the token against target-recension evidence and create or reject a lexical candidate
150	unknown-lexeme	пребꙋдетъ	пребꙋ́детъ	105	105		review the token against target-recension evidence and create or reject a lexical candidate
151	unknown-lexeme	вавѷлѡнска	вавѷлѡ́нска	105	103		review the token against target-recension evidence and create or reject a lexical candidate
152	unknown-lexeme	писанїе	писа́нїе	105	103		review the token against target-recension evidence and create or reject a lexical candidate
153	unknown-lexeme	поклонишасѧ	поклони́шасѧ	104	104		review the token against target-recension evidence and create or reject a lexical candidate
154	unknown-lexeme	пойдꙋ	пойдꙋ̀	104	102		review the token against target-recension evidence and create or reject a lexical candidate
155	unknown-lexeme	сильныхъ	си́льныхъ	104	102		review the token against target-recension evidence and create or reject a lexical candidate
156	unknown-lexeme	рабыни	рабы̑ни	104	101		review the token against target-recension evidence and create or reject a lexical candidate
157	unknown-lexeme	фарїсеє	фарїсе́є	104	99		review the token against target-recension evidence and create or reject a lexical candidate
158	unknown-lexeme	ѻрꙋжїемъ	ѻ҆рꙋ́жїемъ	104	99		review the token against target-recension evidence and create or reject a lexical candidate
159	unknown-lexeme	помолисѧ	помоли́сѧ	104	98		review the token against target-recension evidence and create or reject a lexical candidate
160	unknown-lexeme	єлеемъ	є҆ле́емъ	104	96		review the token against target-recension evidence and create or reject a lexical candidate
161	unknown-lexeme	погꙋбитъ	погꙋби́тъ	104	93		review the token against target-recension evidence and create or reject a lexical candidate
162	unknown-lexeme	сікль	сі̑кль	104	68		review the token against target-recension evidence and create or reject a lexical candidate
163	missing-accent-or-orthographic-metadata	слышавше	Слы́шавше	103	102	synodal:verb:v12-slyshati	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
164	missing-accent-or-orthographic-metadata	древа	древа̀	103	101	synodal:noun:v07-ce9e93f2bbe58085	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
165	unknown-lexeme	житїе	Житїѐ	102	99		review the token against target-recension evidence and create or reject a lexical candidate
166	unknown-lexeme	послы	послы̀	102	98		review the token against target-recension evidence and create or reject a lexical candidate
167	unknown-lexeme	воню	воню̀	101	101		review the token against target-recension evidence and create or reject a lexical candidate
168	unknown-lexeme	вынꙋ	вы́нꙋ	101	101		review the token against target-recension evidence and create or reject a lexical candidate
169	unknown-lexeme	молю	молю́	101	95		review the token against target-recension evidence and create or reject a lexical candidate
170	unknown-lexeme	авессалѡмъ	а҆вессалѡ́мъ	101	89		review the token against target-recension evidence and create or reject a lexical candidate
171	unknown-lexeme	преста	преста̀	100	99		review the token against target-recension evidence and create or reject a lexical candidate
172	unknown-lexeme	свыше	свы́ше	100	99		review the token against target-recension evidence and create or reject a lexical candidate
173	unknown-lexeme	оувѣдѧтъ	ᲂу҆вѣ́дѧтъ	100	98		review the token against target-recension evidence and create or reject a lexical candidate
174	missing-accent-or-orthographic-metadata	книги	кни̑ги	100	95	synodal:noun:v12-kniga	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
175	unknown-lexeme	блгⷭ҇ви	блгⷭ҇вѝ	99	99		review the token against target-recension evidence and create or reject a lexical candidate
176	unknown-lexeme	словесємъ	словесє́мъ	99	99		review the token against target-recension evidence and create or reject a lexical candidate
177	unknown-lexeme	оучн҃кѡмъ	ᲂу҆чн҃кѡ́мъ	99	97		review the token against target-recension evidence and create or reject a lexical candidate
178	unknown-lexeme	првⷣныхъ	првⷣныхъ	99	95		review the token against target-recension evidence and create or reject a lexical candidate
179	unknown-lexeme	издалеча	и҆здале́ча	98	98		review the token against target-recension evidence and create or reject a lexical candidate
180	unknown-lexeme	покры	покры̀	98	98		review the token against target-recension evidence and create or reject a lexical candidate
181	unknown-lexeme	првⷣнъ	првⷣнъ	98	96		review the token against target-recension evidence and create or reject a lexical candidate
182	unknown-lexeme	силенъ	си́ленъ	98	96		review the token against target-recension evidence and create or reject a lexical candidate
183	unknown-lexeme	іѡсафатъ	і҆ѡсафа́тъ	98	94		review the token against target-recension evidence and create or reject a lexical candidate
184	unknown-lexeme	ѻрꙋжїѧ	ѻ҆рꙋ̑жїѧ	98	94		review the token against target-recension evidence and create or reject a lexical candidate
185	unknown-lexeme	єликѡ	Є҆ли́кѡ	98	92		review the token against target-recension evidence and create or reject a lexical candidate
186	unknown-lexeme	воевѡды	воевѡ́ды	96	96		review the token against target-recension evidence and create or reject a lexical candidate
187	unknown-lexeme	ѻбоихъ	ѻ҆бои́хъ	96	89		review the token against target-recension evidence and create or reject a lexical candidate
188	unknown-lexeme	снѣдѧтъ	снѣдѧ́тъ	96	84		review the token against target-recension evidence and create or reject a lexical candidate
189	unknown-lexeme	пойде	по́йде	95	95		review the token against target-recension evidence and create or reject a lexical candidate
190	unknown-lexeme	чрез̾	чрез̾	95	93		review the token against target-recension evidence and create or reject a lexical candidate
191	unknown-lexeme	помолитсѧ	помо́литсѧ	95	91		review the token against target-recension evidence and create or reject a lexical candidate
192	unknown-lexeme	исаѵъ	и҆са́ѵъ	95	85		review the token against target-recension evidence and create or reject a lexical candidate
193	unknown-lexeme	ꙗтъ	ꙗ҆́тъ	94	94		review the token against target-recension evidence and create or reject a lexical candidate
194	unknown-lexeme	дабы	дабы̀	94	93		review the token against target-recension evidence and create or reject a lexical candidate
195	unknown-lexeme	заповѣдїй	за́повѣдїй	94	93		review the token against target-recension evidence and create or reject a lexical candidate
196	unknown-lexeme	поѧстъ	поѧ́стъ	94	92		review the token against target-recension evidence and create or reject a lexical candidate
197	unknown-lexeme	саꙋла	саꙋ́ла	94	92		review the token against target-recension evidence and create or reject a lexical candidate
198	unknown-lexeme	ѡстасѧ	ѡ҆ста́сѧ	94	92		review the token against target-recension evidence and create or reject a lexical candidate
199	unknown-lexeme	сюдꙋ	сю́дꙋ	94	46		review the token against target-recension evidence and create or reject a lexical candidate
200	missing-accent-or-orthographic-metadata	слышавъ	Слы́шавъ	93	93	synodal:verb:v12-slyshati	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
201	unknown-lexeme	возможетъ	возмо́жетъ	92	92		review the token against target-recension evidence and create or reject a lexical candidate
202	unknown-lexeme	сильнїи	си́льнїи	92	92		review the token against target-recension evidence and create or reject a lexical candidate
203	unknown-lexeme	ѧзыкомъ	ѧ҆зы́комъ	92	92		review the token against target-recension evidence and create or reject a lexical candidate
204	unknown-lexeme	поѧтъ	поѧ́тъ	92	91		review the token against target-recension evidence and create or reject a lexical candidate
205	unknown-lexeme	іиꙋй	і҆иꙋ́й	92	82		review the token against target-recension evidence and create or reject a lexical candidate
206	unknown-lexeme	вскорѣ	вско́рѣ	91	91		review the token against target-recension evidence and create or reject a lexical candidate
207	unknown-lexeme	млⷭ҇тивъ	млⷭ҇тивъ	91	91		review the token against target-recension evidence and create or reject a lexical candidate
208	unknown-lexeme	погꙋблю	погꙋблю̀	91	91		review the token against target-recension evidence and create or reject a lexical candidate
209	missing-accent-or-orthographic-metadata	боги	бо́ги	91	90	synodal:noun:bog	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
210	unknown-lexeme	сокрѡвища	сокрѡ́вища	91	83		review the token against target-recension evidence and create or reject a lexical candidate
211	unknown-lexeme	заповѣдахъ	заповѣ́дахъ	90	90		review the token against target-recension evidence and create or reject a lexical candidate
212	unknown-lexeme	избранныхъ	и҆збра́нныхъ	90	88		review the token against target-recension evidence and create or reject a lexical candidate
213	ambiguity-or-spelling-variant	живый	живы́й	90	88	synodal:adjective:wikt-804d9a9cde41,synodal:verb:v06-bba31c88723cae5c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
214	unknown-lexeme	сотворивый	сотвори́вый	90	87		review the token against target-recension evidence and create or reject a lexical candidate
215	unknown-lexeme	всѧчєскаѧ	всѧ́чєскаѧ	90	80		review the token against target-recension evidence and create or reject a lexical candidate
216	unknown-lexeme	ст҃ыни	ст҃ы́ни	89	88		review the token against target-recension evidence and create or reject a lexical candidate
217	missing-accent-or-orthographic-metadata	мѡавли	мѡа́вли	89	87	synodal:adjective:v12-moavl	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
218	unknown-lexeme	коль	ко́ль	89	83		review the token against target-recension evidence and create or reject a lexical candidate
219	unknown-lexeme	начатокъ	нача́токъ	89	83		review the token against target-recension evidence and create or reject a lexical candidate
