rank	frequency	lemma	printed	part_of_speech	cell	gloss	semantic_candidate_id	attestation_candidate_id	passage	context	decision	review_reason
11	382	ти	тѝ	unknown	untyped	тебе	synodal:candidate:f72fc3f3765c3325ae7cc67d	synodal:candidate:ae568f4f8c2ddce5611a8686	Acts.3.6	Рече́ же пе́тръ: сребра̀ и҆ зла́та нѣ́сть ᲂу҆ менє̀, но є҆́же и҆́мамъ, сїѐ тѝ даю̀: во и҆́мѧ і҆и҃са хрⷭ҇та̀ назѡре́а воста́ни и҆ ходѝ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
12	373	єй	є҆́й	unknown	untyped	Да, так, истинно	synodal:candidate:8a5a757d8899454a6ad0ca49	synodal:candidate:0e50f2db3b4545e500fc1f82	Acts.5.8	Ѿвѣща́ же є҆́й пе́тръ: рцы́ ми, а҆́ще на толи́цѣ село̀ ѿда́ста; Ѻ҆на́ же речѐ: є҆́й, на толи́цѣ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
13	325	мене	менѐ	unknown	untyped	одно из таинственных слов, начертанных на стене во время пиршества Валтасара	synodal:candidate:86d888ffb27a5e34da91da59	synodal:candidate:ed36b746fe8716c977c987c0	Acts.3.22	Мѡѷсе́й ᲂу҆́бѡ ко ѻ҆тцє́мъ речѐ: ꙗ҆́кѡ прⷪ҇ро́ка ва́мъ воздви́гнетъ гдⷭ҇ь бг҃ъ ва́шъ ѿ бра́тїи ва́шеѧ, ꙗ҆́кѡ менѐ: тогѡ̀ послꙋ́шайте по всемꙋ̀, є҆ли̑ка а҆́ще рече́тъ къ ва́мъ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
14	320	мои	моѝ	pronoun	lexical-form	my, mine	synodal:candidate:ab7115ba090975e4dce40585	synodal:candidate:ee2d5947ec0b5fadeafa4dab	Acts.20.34	са́ми вѣ́сте, ꙗ҆́кѡ тре́бованїю моемꙋ̀ и҆ сꙋ́щымъ со мно́ю послꙋжи́стѣ рꙋ́цѣ моѝ сі́и.	blocked-ambiguous-homograph	surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
15	319	юже	ю҆́же	unknown	untyped	которую	synodal:candidate:95a9a0f7699152b149477ae4	synodal:candidate:f49a23999803821b7254e9a9	Acts.7.3	и҆ речѐ къ немꙋ̀: и҆зы́ди ѿ землѝ твоеѧ̀ и҆ ѿ ро́да твоегѡ̀ и҆ ѿ до́мꙋ ѻ҆тца̀ твоегѡ̀, и҆ прїидѝ въ зе́млю, ю҆́же а҆́ще тѝ покажꙋ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
16	279	сꙋдъ	сꙋ́дъ	unknown	untyped	закон, правосудие, 2. судебный иск, 3. посуда, сосуд	synodal:candidate:91eb6252fb3a8b8b9732e6be	synodal:candidate:0da829b05e78799b7d017151	Acts.23.6	Разꙋмѣ́въ же па́ѵелъ, ꙗ҆́кѡ є҆ди́на ча́сть є҆́сть саддꙋкє́й, дрꙋга́ѧ же фарїсє́й, воззва̀ въ со́нмищи: мꙋ́жїе бра́тїе, а҆́зъ фарїсе́й є҆́смь, сы́нъ фарїсе́овъ: ѡ҆ ᲂу҆пова́нїи и҆ ѡ҆ воскрⷭ҇нїи ме́ртвыхъ а҆́зъ сꙋ́дъ прїе́млю.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
17	271	ѻгнь	ѻ҆́гнь	unknown	untyped	огонь, пламя, 2. горячка	synodal:candidate:90244403f885ce62a5313034	synodal:candidate:3bd3bd21ae25c5192e60f509	Acts.2.19	и҆ да́мъ чꙋдеса̀ на небесѝ горѣ̀ и҆ зна́мєнїѧ на землѝ ни́зꙋ, кро́вь и҆ ѻ҆́гнь и҆ кꙋре́нїе ды́ма:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
18	253	мнози	мно́зи	unknown	untyped	многие, иногда - все	synodal:candidate:f7ecbf24d7b673698d59a93b	synodal:candidate:623f7e36890d90297384be68	Acts.8.7	дꙋ́си бо нечи́стїи ѿ мно́гихъ и҆мꙋ́щихъ ѧ҆̀, вопїю́ще гла́сомъ ве́лїимъ, и҆схожда́хꙋ, мно́зи же разсла́бленнїи и҆ хро́мїи и҆сцѣли́шасѧ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
19	239	женꙋ	женꙋ̀	unknown	untyped	преследую, гонюсь, стремлюсь	synodal:candidate:c8378ccecab729ffd255713c	synodal:candidate:82e379fd2b97a52bc24d91bf	Apoc.12.13	И҆ є҆гда̀ ви́дѣ ѕмі́й, ꙗ҆́кѡ низложе́нъ бы́сть на зе́млю, гонѧ́ше женꙋ̀, ꙗ҆́же родѝ мꙋ́жеска.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
20	237	сѡтъ	сѡ́тъ	unknown	untyped	ячейка	synodal:candidate:e4c236568d287a0f8ff3faab	synodal:candidate:562ec8e8d299c0dd2f8d13b3	Apoc.13.18	Здѣ̀ мꙋ́дрость є҆́сть. И҆́же и҆́мать ᲂу҆́мъ, да почте́тъ число̀ ѕвѣри́но: число́ бо человѣ́ческо є҆́сть, и҆ число̀ є҆гѡ̀ ше́сть сѡ́тъ шестьдесѧ́тъ ше́сть.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
21	233	семъ	се́мъ	unknown	untyped	ну-ка, давай	synodal:candidate:f6eb3154d03488bc784d8794	synodal:candidate:266315fe7d6b5f5ed4eac3f6	Acts.3.12	Ви́дѣвъ же пе́тръ ѿвѣщава́ше къ лю́демъ: мꙋ́жїе і҆и҃льтѧне, что̀ чꙋдите́сѧ ѡ҆ се́мъ, и҆лѝ на ны̀ что̀ взира́ете, ꙗ҆́кѡ свое́ю ли си́лою и҆лѝ бл҃гоче́стїемъ сотвори́хомъ є҆го̀ ходи́ти;	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
22	225	силы	си́лы	unknown	untyped	один из чинов ангельских, 2. чудеса или дар чудотворений	synodal:candidate:3f206cd4f0ed9b9ba85cb3df	synodal:candidate:df92bf7cf32601fc51613517	Acts.6.8	(Заⷱ҇ 17) Стефа́нъ же и҆спо́лнь вѣ́ры и҆ си́лы творѧ́ше зна́мєнїѧ и҆ чꙋдеса̀ вє́лїѧ въ лю́дехъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
23	211	симъ	си̑мъ	unknown	untyped	Сим, сын Ноя	synodal:candidate:e2a560162b560be089a0c3e7	synodal:candidate:7e2de1076a82ec7e8e6b9312	Acts.10.47	є҆да̀ во́дꙋ возбрани́ти мо́жетъ кто̀, є҆́же не крести́тисѧ си̑мъ, и҆̀же дх҃ъ ст҃ы́й прїѧ́ша, ꙗ҆́коже и҆ мы̀;	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
24	208	ѕлаѧ	ѕла̑ѧ	unknown	untyped	бедствие, 2. лукавство, зло	synodal:candidate:32ff5f1e56b24b9ce65cb695	synodal:candidate:cadee58e46a982ef14bf0002	Amos.5.15	возненави́дѣхомъ ѕла̑ѧ и҆ возлюби́хомъ дѡ́браѧ: и҆ возста́вите ᲂу҆ вра́тъ сꙋ́дъ, ꙗ҆́кѡ да поми́лꙋетъ гдⷭ҇ь бг҃ъ вседержи́тель ѡ҆ста̑вшаѧ і҆ѡ́сифѡва.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
25	207	то	то̀	unknown	untyped	тот, он	synodal:candidate:2d43e409959f3d21e0454789	synodal:candidate:726b67c0da89b0a447cc2c7d	Acts.5.39	а҆́ще ли же ѿ бг҃а є҆́сть, не мо́жете разори́ти то̀, да не ка́кѡ и҆ бг҃обо́рцы ѡ҆брѧ́щетесѧ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
26	206	сребро	сребро̀	unknown	untyped	серебро, деньги	synodal:candidate:43894b702ed10eeaf487c2a9	synodal:candidate:9997c968706a3efefb442cc9	Acts.8.18	(Заⷱ҇ 19) Ви́дѣвъ же сі́мѡнъ, ꙗ҆́кѡ возложе́нїемъ рꙋ́къ а҆пⷭ҇льскихъ дае́тсѧ дх҃ъ ст҃ы́й, принесѐ и҆̀мъ сребро̀,	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
27	203	ны	ны̀	unknown	untyped	нас	synodal:candidate:1983f7736699aba54c105b68	synodal:candidate:1545aff7bc7b65f3a16f6ef4	Acts.3.4	воззрѣ́въ же пе́тръ на́нь со і҆ѡа́нномъ, речѐ: воззрѝ на ны̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
28	188	бꙋди	бꙋ́ди	unknown	untyped	истинно	synodal:candidate:628730e52e5cc2c1fdef8a1d	synodal:candidate:9731b36555991624599a7a7c	Acts.4.10	разꙋ́мно бꙋ́ди всѣ̑мъ ва́мъ и҆ всѣ̑мъ лю́демъ і҆и҃лєвымъ, ꙗ҆́кѡ во и҆́мѧ і҆и҃са хрⷭ҇та̀ назѡре́а, є҆го́же вы̀ распѧ́сте, є҆го́же бг҃ъ воскр҃сѝ ѿ ме́ртвыхъ, ѡ҆ се́мъ се́й стои́тъ пред̾ ва́ми здра́въ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
29	183	агг҃лъ	а҆́гг҃лъ	unknown	untyped	ангел (пишется под титлом), вестник, духовные силы, чин небесной иерархии, 2. пишется без титла - падший ангел, злой дух	synodal:candidate:b6047f628c9a6a3f98c12d59	synodal:candidate:b7b72b2743e222ba746418c1	Acts.8.39	Є҆гда́ же и҆зыдо́ста ѿ воды̀, дх҃ъ ст҃ы́й нападѐ на ка́женика: а҆́гг҃лъ же гдⷭ҇ень восхи́ти фїлі́ппа, и҆ не ви́дѣ є҆гѡ̀ ктомꙋ̀ ка́женикъ, и҆дѧ́ше бо въ пꙋ́ть сво́й ра́дꙋѧсѧ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
30	175	воньже	во́ньже	unknown	untyped	винительный падеж местоимения иже с предлогом в	synodal:candidate:0c1fd6fe6275f1f0cc750c00	synodal:candidate:da3be8b88f8120e9fc660a79	Acts.1.22	наче́нъ ѿ креще́нїѧ і҆ѡа́ннова да́же до днѐ, во́ньже вознесе́сѧ (на нб҃о) ѿ на́съ, свидѣ́телю воскрⷭ҇нїѧ є҆гѡ̀ бы́ти съ на́ми є҆ди́номꙋ ѿ си́хъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
31	174	неже	не́же	unknown	untyped	Нежели, а не	synodal:candidate:c972b1bf85b6cbb9c5d97c04	synodal:candidate:629cb0302416802ca465b33b	Acts.1.21	подоба́етъ ᲂу҆̀бо ѿ сходи́вшихсѧ съ на́ми мꙋже́й во всѧ́ко лѣ́то, въ не́же вни́де и҆ и҆зы́де въ на́съ гдⷭ҇ь і҆и҃съ,	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
32	172	дрꙋгъ	дрꙋ́гъ	unknown	untyped	друг, приверженец, благожелатель, любимец	synodal:candidate:8f2911ecc3093557a9aef3b8	synodal:candidate:055e5acd1c0cca06e142f320	Acts.2.7	Дивлѧ́хꙋсѧ же всѝ и҆ чꙋдѧ́хꙋсѧ, глаго́люще дрꙋ́гъ ко дрꙋ́гꙋ: не се́ ли, всѝ сі́и сꙋ́ть глаго́лющїи галїле́ане;	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
33	171	ѻлтарь	ѻ҆лта́рь	unknown	untyped	алтарь, жертвенник	synodal:candidate:91330eb3bad513fb39c302e7	synodal:candidate:5ade7720eb10a37235c7a083	Apoc.8.3	И҆ дрꙋгі́й а҆́гг҃лъ прїи́де и҆ ста̀ пред̾ ѻ҆лтаре́мъ, и҆мѣ́ѧй кади́льницꙋ зла́тꙋ: и҆ даны̀ бы́ша є҆мꙋ̀ ѳѷмїа́ми мно́зи, да да́стъ мл҃твамъ ст҃ы́хъ всѣ́хъ на ѻ҆лта́рь златы́й сꙋ́щїй пред̾ прⷭ҇то́ломъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
34	169	тридесѧть	три́десѧть	unknown	untyped	тридцать	synodal:candidate:9452da645f16afd8a85183cd	synodal:candidate:d63ac3d58fdd26dc403c9d64	Composite.6.16	[Леѵ 12:4] и҆ сидѣ́ти бꙋ́детъ три́десѧть и҆ трѝ дни̑ въ кро́ви нечи́стѣй свое́й: всѧ́кой ве́щи ст҃ѣ́й да не прико́снетсѧ и҆ въ свѧти́лище да не вни́детъ, до́ндеже сконча́ютсѧ дні́е ѡ҆чище́нїѧ є҆ѧ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
35	168	четыри	четы́ри	unknown	untyped	четыре	synodal:candidate:85fc8b9023a9bf0642c27a38	synodal:candidate:5fb54dc9ae669c5d9e4239ae	Acts.21.23	Сїѐ ᲂу҆̀бо сотворѝ, є҆́же тѝ глаго́лемъ: сꙋ́ть ᲂу҆ на́съ мꙋ́жїе четы́ри ѡ҆бѣща́вше себѐ бг҃ꙋ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
36	164	четыредесѧть	четы́редесѧть	unknown	untyped	сорок	synodal:candidate:54319fa67a8cef63cf8a1071	synodal:candidate:c8588eed4560fcd5d31fe7e9	Acts.7.42	Ѿврати́сѧ же бг҃ъ и҆ предадѐ и҆̀хъ слꙋжи́ти во́ємъ небє́снымъ, ꙗ҆́коже пи́сано є҆́сть въ кни́зѣ прⷪ҇рѡ́къ: є҆да̀ заколє́нїѧ и҆ жє́ртвы принесо́сте мѝ лѣ́тъ четы́редесѧть въ пꙋсты́ни, до́ме і҆и҃левъ;	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
37	163	рцы	рцы̀	unknown	untyped	скажи	synodal:candidate:524a70d8288836e5ae711c41	synodal:candidate:01804fca0ff2edb316bb6407	Acts.28.26	гл҃ѧ: и҆дѝ къ лю́демъ си̑мъ и҆ рцы̀: слꙋ́хомъ ᲂу҆слы́шите и҆ не и҆́мате разꙋмѣ́ти: и҆ ви́дѧще ᲂу҆́зрите и҆ не и҆́мате ви́дѣти:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
38	159	вседержитель	вседержи́тель	unknown	untyped	Вседержитель	synodal:candidate:de302333a2b6624788b5ad4b	synodal:candidate:cd84daf4b352eb5f3f9fd3bb	Amos.3.13	Жерцы̀, послꙋ́шайте и҆ засвидѣ́тельствꙋйте до́мꙋ і҆а́кѡвлю, гл҃етъ гдⷭ҇ь бг҃ъ вседержи́тель:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
39	155	малѡ	ма́лѡ	unknown	untyped	мало, немного	synodal:candidate:03e30ac64ef9d24e0e33b9e1	synodal:candidate:793fa9feda6058582f0559c6	Acts.5.34	Воста́въ же нѣ́кїй на со́нмищи фарїсе́й, и҆́менемъ гамалїи́лъ, законоꙋчи́тель че́стенъ всѣ̑мъ лю́демъ, повелѣ̀ внѣ̀ ма́лѡ что̀ а҆пⷭ҇лѡмъ ᲂу҆стꙋпи́ти,	blocked-ambiguous-homograph	multiple mixed-recension Ponomar dictionary identities share this headword; target identity, part of speech, and cell require contextual adjudication
40	153	всѧко	всѧ́ко	unknown	untyped	отнюдь, вовсе, совсем, совершенно, конечно, непременно	synodal:candidate:8d718de9362f27627b02c89c	synodal:candidate:629cb0302416802ca465b33b	Acts.1.21	подоба́етъ ᲂу҆̀бо ѿ сходи́вшихсѧ съ на́ми мꙋже́й во всѧ́ко лѣ́то, въ не́же вни́де и҆ и҆зы́де въ на́съ гдⷭ҇ь і҆и҃съ,	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
41	147	ѻбаче	ѻ҆ба́че	unknown	untyped	Впрочем, однако, но	synodal:candidate:bd5316d5bad4d5a43b3b5691	synodal:candidate:32014a1887fd0a392cba0029	Amos.4.12	Сегѡ̀ ра́ди си́це сотворю́ ти, і҆и҃лю: ѻ҆ба́че, ꙗ҆́кѡ си́це сотворю́ ти, ᲂу҆гото́висѧ призыва́ти бг҃а твоего̀, і҆и҃лю.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
42	144	дх҃ъ	дх҃ъ	unknown	untyped	Дух Божий	synodal:candidate:2e362d07bbafab54d8a0a2b3	synodal:candidate:28429957193b651f9823e237	Acts.2.4	И҆ и҆спо́лнишасѧ всѝ дх҃а ст҃а и҆ нача́ша глаго́лати и҆ны́ми ѧ҆зы́ки, ꙗ҆́коже дх҃ъ даѧ́ше и҆̀мъ провѣщава́ти.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
43	144	нѧ	нѧ̀	unknown	untyped	их	synodal:candidate:334d5d38c42511b5a6fa6317	synodal:candidate:bcd3eb6ce8f5f37653fbe432	Acts.6.6	и҆̀хже поста́виша пред̾ а҆пⷭ҇лы: и҆ помоли́вшесѧ возложи́ша на нѧ̀ рꙋ́цѣ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
44	137	вратъ	вра́тъ	noun	lexical-form	wheel	synodal:candidate:3dbe009ffb4af93c7782f1f2	synodal:candidate:37846ffa7da93b1d25fb0996	Acts.9.24	ᲂу҆вѣ́данъ же бы́сть са́ѵлꙋ совѣ́тъ и҆́хъ: стрежа́хꙋ же вра́тъ де́нь и҆ но́щь, ꙗ҆́кѡ да ᲂу҆бїю́тъ є҆го̀:	blocked-ambiguous-homograph	surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
45	137	конецъ	коне́цъ	unknown	untyped	конец, окончание, 2. высшая степень, верх, итог, 3. цель	synodal:candidate:1872b89972e874e43488a3a3	synodal:candidate:012c61e6cc198f3ce3d658e6	Amos.8.7	Клене́тсѧ гдⷭ҇ь на презо́рство і҆а́кѡвле, а҆́ще забꙋ́детъ въ коне́цъ всѧ̑ дѣла̀ ва̑ша:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
46	137	смерть	сме́рть	unknown	untyped	смерть	synodal:candidate:06369695de507202378cbc18	synodal:candidate:2f9078db8df0f7c91dd0c6f9	Amos.4.10	Посла́хъ на вы̀ сме́рть на пꙋтѝ є҆гѵ́петстѣмъ, и҆ и҆зби́хъ ѻ҆рꙋ́жїемъ ю҆́ношы ва́шѧ, съ плѣ́номъ ко́ней твои́хъ, и҆ и҆зведо́хъ во ѻ҆гнѝ полкѝ ва́шѧ во гнѣ́вѣ мое́мъ: и҆ нижѐ та́кѡ ѡ҆брати́стесѧ ко мнѣ̀, гл҃етъ гдⷭ҇ь.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
47	134	вѣмъ	вѣ́мъ	unknown	untyped	ведаю	synodal:candidate:f6f827ac209e5aea702e0387	synodal:candidate:17d593b2bf8d9308b6c7cae4	Acts.3.17	И҆ нн҃ѣ, бра́тїе, вѣ́мъ, ꙗ҆́кѡ по невѣ́дѣнїю сїѐ сотвори́сте, ꙗ҆́коже и҆ кнѧ̑зи ва́ши:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
48	132	подобаетъ	подоба́етъ	unknown	untyped	достойно, прилично, должно, подобает	synodal:candidate:c7f436c3ebfacd12733f8242	synodal:candidate:629cb0302416802ca465b33b	Acts.1.21	подоба́етъ ᲂу҆̀бо ѿ сходи́вшихсѧ съ на́ми мꙋже́й во всѧ́ко лѣ́то, въ не́же вни́де и҆ и҆зы́де въ на́съ гдⷭ҇ь і҆и҃съ,	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
49	129	благо	бла́го	unknown	untyped	добро, богатство, имение	synodal:candidate:f183d06d2cc1ba499ebc5549	synodal:candidate:f9ce2be9366b3df7624621f5	Dan.3.30	и҆ за́повѣдїй твои́хъ не послꙋ́шахомъ, нижѐ соблюдо́хомъ, нижѐ сотвори́хомъ, ꙗ҆́коже заповѣ́далъ є҆сѝ на́мъ, да бла́го на́мъ бꙋ́детъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
50	128	полкъ	по́лкъ	unknown	untyped	стан (кочевой), 2. стан (военный лагерь), 3. большая группа, 4. войско, воинство	synodal:candidate:61269963918cd7906650d1b8	synodal:candidate:6caf6384fe7d1c0495978a0d	Acts.21.34	Дрꙋзі́и же и҆́но нѣ́что вопїѧ́хꙋ въ наро́дѣ: не могі́й же разꙋмѣ́ти и҆звѣ́стное молвы̀ ра́ди, повелѣ̀ ѿвестѝ є҆го̀ въ по́лкъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
