lexeme_id	reason	source
погрєбител҄ь|noun|dde5008c7d5044c0	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
правител҄ь|noun|83cbe842f5d47039	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
приꙗтел҄ь|noun|ca56c7c7cec53bb7	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
просител҄ь|noun|6125bde717310b58	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
простꙑн҄и|noun|a2f2887d07470059	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
прѣгꙑн҄и|noun|21cdc3859e776959	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
родител҄ь|noun|184a8ee2f03a834e	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
самарѣнꙑн҄и|noun|8d9833f14b9bedeb	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
свободител҄ь|noun|d8186c39bc273d86	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
свѣтител҄ь|noun|f83419fe94e581a3	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
септѧбр҄ь|noun|d4819c5334c81827	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
слоужител҄ь|noun|1d01aa7f7a68a252	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
слꙑшател҄ь|noun|4c9b837d8c61ef4c	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
строител҄ь|noun|4750969638a11a42	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
съпасител҄ь|noun|35ebc21707fd97c9	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
сѫдител҄ь|noun|01e1ad7a2bb410a5	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
сѵрофоник҄иссанꙑн҄и|noun|9c395debedd045dc	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
томител҄ь|noun|793456e3adc84853	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
тьлител҄ь|noun|1f66cb3aaea0e134	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
хранител҄ь|noun|ccb84cc3a6476267	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
цѣлител҄ь|noun|7a97cce5749901ea	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
чистител҄ь|noun|94bd3e526781c8d4	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
шарописател҄ь|noun|392d499dd9541e8b	explicit canonical head differs from table nominative spelling	Kaikki snapshot SHA-256 5bd61e747aa7aeb677af92b4e32c65476e5c6ee74bff146269460c962be5456c
