# preposition	tokens	unambiguous case counts (case:n, commonest first)	sets (set:n)
# written by `cargo xtask census closed --write` from the auto-lifted treebank; the Polyakov importer reads it for gov=
ради	393	gen:160 dat:6 nom:5 ins:3 acc:1	acc|nom|voc:74 acc|gen:35 gen|loc:30 acc|nom:24 acc|gen|nom|voc:15 acc|gen|loc:11 nom|voc:9 dat|gen|loc:7 acc|gen|nom:3 acc|dat|gen|loc|nom|voc:2 acc|dat|loc|nom|voc:2 acc|dat:1 acc|dat|gen|loc|nom:1 acc|dat|nom:1 acc|ins|nom|voc:1 gen|nom|voc:1 ins|nom|voc:1
под	308	ins:199 acc:14 gen:7 loc:1	dat|ins:33 acc|nom:23 acc|nom|voc:14 gen|ins|loc:6 dat|loc:4 acc|gen|loc:2 acc|gen|nom|voc:2 acc|dat|loc|nom|voc:1 acc|gen:1 ins|loc:1
между	279	ins:250 acc:3 gen:1	dat|ins:8 acc|ins:5 gen|ins|loc:4 gen|loc:2 acc|gen:1 acc|ins|nom:1 acc|ins|nom|voc:1 dat|gen|loc:1 ins|nom|voc:1 nom|voc:1
при	226	loc:136 acc:9	dat|loc:38 acc|dat|gen|loc|nom|voc:13 dat|gen|loc:7 gen|loc:6 acc|gen|loc:5 acc|nom|voc:4 acc|ins|loc|nom|voc:3 acc|loc|nom|voc:2 dat|ins:2 ins|loc:1
без	137	gen:88 loc:1	acc|gen:19 dat|gen|loc:16 acc|gen|nom:5 acc|gen|loc:4 gen|loc:3 acc|gen|nom|voc:1
кромѣ	96	gen:46 dat:1	acc|gen:25 gen|loc:14 acc|dat|gen|loc|nom|voc:3 acc|gen|nom|voc:2 dat|gen|loc:2 acc|gen|nom:1 acc|nom|voc:1 nom|voc:1
сквозѣ	82	acc:37 gen:3	acc|nom|voc:18 acc|nom:14 acc|gen:3 acc|gen|nom:3 acc|gen|nom|voc:2 gen|nom:1 gen|nom|voc:1
чрез	44	acc:14 gen:1	acc|nom:13 acc|nom|voc:5 acc|gen:4 acc|gen|nom|voc:4 gen|loc:2 acc|gen|loc:1
около	6	gen:2 ins:1	acc|nom|voc:2 acc|ins|nom|voc:1
предъ	1	ins:1	
