# Noun letter classes, seeded from Polyakov's legend (flexslav.htm) by
# scripts/polyakov-legend-to-classes.py; hand-maintained since.
# Columns: class, strip (lemma letters that are the ending), stems
# (n=derivation; base|drop|insert|pal1[:x]|pal2[:x]|ext:suffix), then
# cell=spec where spec is `|`-separated alternatives, primary first:
#   N-ending[^]   stem N plus the ending, ^ = the number mark
#   @cell         the same as that cell; @lemma the lemma itself
#   anim:… inan:… an alternative that applies to that animacy only
class	exemplar	strip	stems	nom.sg	gen.sg	dat.sg	acc.sg	ins.sg	loc.sg	voc.sg	nom.du	gen.du	dat.du	acc.du	ins.du	loc.du	voc.du	nom.pl	gen.pl	dat.pl	acc.pl	ins.pl	loc.pl	voc.pl
N41	заповѣдь	1	1=base	1-ь	1-и	1-и	@nom.sg	1-ію	1-и	1-е	1-и^	1-ію^	1-ема|1-ьма	@nom.du	@dat.du	@gen.du	@nom.du	1-и^	1-ей	1-емъ|1-ѧмъ	@nom.pl|@gen.pl	1-ьми|1-ами|1-ми	1-ехъ|1-ѣхъ|1-ѧхъ	@nom.pl
N42	путь	1	1=base	1-ь	1-и	1-и	@nom.sg	1-емъ	1-и	1-ь|1-и	1-и^	1-ію	1-ьма	@nom.du	@dat.du	@gen.du	@nom.du	1-іе	1-ій|1-ей	1-емъ^	1-и^	1-ьми	1-ехъ	@nom.pl
N43	степень	1	1=base	1-ь	1-е	1-и|1-ю	@nom.sg	1-емъ	1-и	@nom.sg	1-и^	1-ію	1-ема|1-ьма	@nom.du	@dat.du	@gen.du	@nom.du	1-и^	1-ій|1-ей	1-емъ^	@nom.pl	1-ьми	1-ѣхъ	@nom.pl
N43*	день	1	1=drop;2=base	2-ь	1-е	1-ю|1-и|1-еви	@nom.sg	1-емъ	1-и	@nom.sg	1-и^	1-ію|1-ю	1-ьма	@nom.du	@dat.du	@gen.du	@nom.du	1-іе|1-и^	1-ій|1-ей	1-емъ^	@nom.pl	2-ьми	1-ехъ	@nom.pl
N5*ov	церковь	1	1=drop;2=base	2-ь	1-е	1-и	@nom.sg	2-ію	1-и	@nom.sg	1-и^	2-ію^	1-ама	@nom.du	@dat.du	@gen.du	@nom.du	2-и^	1-ей	1-амъ	@nom.pl	1-ами	1-ахъ	@nom.pl
N5en	имя	1	1=base;2=ext:ен	@lemma	2-е	2-и	@nom.sg	2-емъ	2-и	@nom.sg	2-и^	2-ꙋ	2-ема|2-ама	@nom.du	@dat.du	@gen.du	@nom.du	2-а	2-ъ	2-омъ^|2-емъ^	@nom.pl	2-ы	2-ѣхъ|2-ехъ	@nom.pl
N5er	мати	1	1=base;2=ext:ер	@lemma	2-е	2-и	2-ь	2-ію	2-и	@nom.sg	2-и^	2-ію^	2-ема	@nom.du	@dat.du	@gen.du	@nom.du	2-и^	2-ій|2-ей	2-емъ	@nom.pl|@gen.pl	2-ьми	2-ехъ	@nom.pl
N5es	небо	1	1=base;2=ext:ес	@lemma	2-е	2-и	@nom.sg	2-емъ	2-и	@nom.sg	2-и^	2-ꙋ	2-ема	@nom.du	@dat.du	@gen.du	@nom.du	2-а	2-ъ	2-емъ^	@nom.pl	2-ы	2-ѣхъ	@nom.pl
N5et	осля	1	1=base;2=ext:ѧт	@lemma	2-е	2-и	@nom.sg	2-емъ	2-и	@nom.sg	2-ы	2-ꙋ	2-ома	@nom.du	@dat.du	@gen.du	@nom.du	2-а	2-ъ	2-емъ^|2-омъ^	@nom.pl	2-ы	2-ѣхъ|2-ехъ	@nom.pl
N5ov	свекры	1	1=base;2=ext:ов	@lemma	2-е	2-и	2-ь	2-ію	2-и	@nom.sg	2-и^	2-ію^	2-ама	@nom.du	@dat.du	@gen.du	@nom.du	2-и^	2-ей	2-амъ	@nom.pl|@gen.pl	2-ами	2-ахъ	@nom.pl
0	-	0	1=base	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma	@lemma
