review_id	baseline_rank	batch_id	label	predicted_unique_tokens	decision	realized_unique_tokens	blocker	review_note
v06-abbreviation-a2f38395f2a24762	209	synodal:family-candidate:ba98c6a6bbb12731ee2e2f0c	блгⷣ-	83	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-003e54fcca47433c	219	synodal:family-candidate:52453d689bc655e242e22c87	прⷭ҇нѡ	79	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-bdf335c9f25af13c	220	synodal:family-candidate:8aa748db32b82b8c54fc9859	дв҃дꙋ	79	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-827f35a27fb81f44	229	synodal:family-candidate:5dddb4618d59828c1f186388	ст҃ымъ	76	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
v06-abbreviation-9404bccde943abb5	237	synodal:family-candidate:b77129c5df411c2c34843129	црⷭ҇тво	73	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-64453b432cb670ef	251	synodal:family-candidate:32cf02d7243b05d62b29e58f	іи҃левѣ	70	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-ff924aa54b501cb4	254	synodal:family-candidate:220d53a86ba00ebdded74763	блгⷭ҇вени-	69	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-4a05dd0d8504ed8a	260	synodal:family-candidate:281104277d9823c6e8b852ac	цр҃ковь	68	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-548a9213d8d7ac04	266	synodal:family-candidate:00dfe66ece2b9254e8dc0cf2	бл҃жен-	66	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-84b9fa3195577994	267	synodal:family-candidate:f07698d9e017ee5b44eb491b	ѹчн҃ц-	66	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-8183cb6224c5b7a2	275	synodal:family-candidate:c84fe7b8c1df0c005e15b81a	бл҃женъ	64	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-1f75a3f9b6bf2af9	276	synodal:family-candidate:efa5ef462a81b00688d9f959	првⷣный	64	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-5051ff2b700239ac	289	synodal:family-candidate:1e78beacc6df6951933c91e4	првⷣникъ	61	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-430479e14e316825	297	synodal:family-candidate:26fc37741ec91ec118df4e6e	бж҃їей	59	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-1f1ff27c4438f434	298	synodal:family-candidate:7d20e3e2c2e1aea12060e9e1	іерⷭ҇лимꙋ	59	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-b07608b9b19908ba	299	synodal:family-candidate:83e8703326f0732797592a69	учн҃к-	59	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-a79cf6013a28f612	306	synodal:family-candidate:a37efcd6ff7a17e75d4baff8	господень	58	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after review: the target corpus establishes a recurring titlo or superscript surface, but semantic expansion, exact grammatical cells, required marks, and reversibility are not yet independently specified.
v06-abbreviation-dae7511b470fdc8e	308	synodal:family-candidate:efdef7af78d327f67cada8d6	оч҃-	58	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-3a5586d1ee8955d8	320	synodal:family-candidate:eadc30f7470f9809745a6e09	ии҃левы-	57	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-65d54cab2e87f5d5	324	synodal:family-candidate:916f41f63a62178a36e1a70a	ст҃ы-	56	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-53dc5514d8d409db	325	synodal:family-candidate:f230d4ecd0a670220066427d	влⷣко	56	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-d34e43f588a7b525	338	synodal:family-candidate:183988781cd92402a7816bd9	ст҃о	54	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-4bc892c78fc1dd4e	339	synodal:family-candidate:195cf089f6597b2b664f73b3	ст҃ѣмъ	54	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-6424db8be1867eba	340	synodal:family-candidate:34d53c6f6ecb93ec7d93d8d1	сп҃сени-	54	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-7c7e1b4e256a0c62	345	synodal:family-candidate:7cbcec2c8f7f26db7ab94cc9	цр҃-	53	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-59b2960b37b1923f	353	synodal:family-candidate:3aff902bead6ab9fe7823958	нбⷭ҇но-	52	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-688c2147c6aa2a4d	354	synodal:family-candidate:444d9d8e30f5464a0b0027a3	іи҃левымъ	52	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-13ca8f68f32bcc34	356	synodal:family-candidate:5a7067ce4041b417d2468fa1	прⷪ҇рѡкъ	52	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-48b4ad7e3a477455	357	synodal:family-candidate:cb531574206b380b011d58a8	бл҃га-	52	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-bd1a42fa6cc38b7a	358	synodal:family-candidate:d0bd5c7d53de6a2522adc59b	апⷭ҇лъ	52	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-2d490df6accdeea3	359	synodal:family-candidate:e0390f4240f3f8dd278ccc9d	агг҃лꙋ	52	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-b421ac9db15c15e2	363	synodal:family-candidate:b0cf2099b5b402ba398772a6	ии҃сов-	51	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-af848a6170962fd1	367	synodal:family-candidate:44c40ea2386ed759ba2f8333	иерⷭ҇лим-	50	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-b788f3cc6ef479c2	368	synodal:family-candidate:ada0ef55af62ef2b57602223	спⷭ҇-	50	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-7b40b6b8e2088153	375	synodal:family-candidate:9c9c2a4907718d270ba031c6	хрⷭ҇т-	49	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-c559783a9d5f1743	376	synodal:family-candidate:abc1fadebe1dc6c6c67464dd	прⷪ҇роц-	49	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-1247a46c28f8c392	382	synodal:family-candidate:708ddce62e3ce2521f06c2e3	ѻц҃ꙋ	48	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-6dc29f5638e31440	384	synodal:family-candidate:a6fabcecf6adfb4553eb21e4	мт҃-	48	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-e9bf0b192c2eef6e	391	synodal:family-candidate:964d6498e2e6b2a13e1141ab	прⷭ҇толѣ	47	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-6e8f22993f978e78	410	synodal:family-candidate:20b0fb457d997b80be5178b8	ст҃омꙋ	45	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-7c1dfdca8c9bee15	411	synodal:family-candidate:29cfaae138ba10e641cf2b04	ѿнн҃ѣ	45	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	surface grouping is diagnostic only; target identity and complete morphology require review
v06-abbreviation-fba7f1a8d70b68b1	1706	synodal:family-candidate:00776f98da1caaf158e395d9	гл҃-	0	deferred	0	semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent source-partition Synodal evidence	Deferred after review: the target corpus establishes a recurring titlo or superscript surface, but semantic expansion, exact grammatical cells, required marks, and reversibility are not yet independently specified.
