source_order	headword	systems	strategy	implementation_status	evidence_id	note	target_recension
57	мощи	present,aorist,imperfect,present-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
58	мыти	present,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
59	мѧстисѧ	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
60	небрещи	present,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
61	(ᲂу)нзти	future,aorist,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
62	(при)никнꙋти	future,aorist,past-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
63	ѡблещи	future,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
64	пасти	future	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
65	(вос)перꙋтъ	future,defectiveness	typed-defective-inventory	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through exact overrides and typed system or inventory defects.	synodal-russian
66	пити	present,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
67	плевати / плювати	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
68	прати	future,imperfect,defectiveness	typed-defective-inventory	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through exact overrides and typed system or inventory defects.	synodal-russian
69	подобати	present,imperfect,defectiveness	bundled-exact-and-defective	implemented-bundled	alypy-104-inventory-complete	Bundled exact cells and source-typed defectiveness.	synodal-russian
70	простерти	future,aorist,l-participle,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
71	пѣти	present,imperfect,imperative,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
72	пѧти	present,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
73	расти	present,aorist,imperfect,l-participle,present-active-participle,past-active-participle	caller-exact-principal-parts	source-evidence-incomplete	alypy-104-inventory-complete	Source prints an explicitly uncertain form; the engine requires caller evidence for that cell.	synodal-russian
74	рещи	future,aorist,imperative,present-passive-participle,past-passive-participle	bundled-exact-and-productive	implemented-bundled	alypy-104-inventory-complete	Bundled stable identity and exact/principal-part data.	synodal-russian
75	(ѡб)рѣсти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
76	(из)сохнꙋти	future,aorist,past-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
77	спати	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
78	стати	future,aorist,imperative	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
79	стлати	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
80	(ѡ)стрищи	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
81	строгати	present,imperfect,present-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
82	сѣсти	future,aorist,imperative,l-participle,past-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
83	сѣщи	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
84	(ᲂу)сѣкнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
85	(из)сѧкнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
86	тещи	present,imperfect,imperative	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
87	(по)ткнꙋтисѧ	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
88	сотрети / стерти / сотрыти	future,aorist,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
89	ᲂумрети	future,aorist,l-participle,past-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
90	ᲂуснꙋти	future,aorist,past-active-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
91	(ѡб)ꙋти	future,aorist,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
92	хотѣти	present,stem-alternation	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
93	цвѣсти	present	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
94	(ис)чезнꙋти	future,aorist	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
95	(по)черпсти	present,future,aorist,imperative,past-active-participle,stem-alternation	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
96	чести	present,aorist,imperfect,imperative,present-active-participle,present-passive-participle,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
98	(на, за)чати	future,aorist,past-active-participle,past-passive-participle	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
99	ꙗсти	present,present-active-participle,present-passive-participle,past-active-participle,past-passive-participle	bundled-exact-and-productive	implemented-bundled	alypy-104-inventory-complete	Bundled stable identity and exact/principal-part data.	synodal-russian
100	ꙗти and prefixed family	present,future,aorist,imperfect,imperative,present-active-participle,present-passive-participle,past-active-participle,past-passive-participle,stem-alternation	caller-exact-principal-parts	implemented-by-metadata-contract	alypy-104-inventory-complete	Representable through ordered exact overrides and independent principal parts.	synodal-russian
