candidate_id	decision	linked_lexeme_id	admitted_class	admitted_stem	gender	aspect	number_restriction	animacy	stem_alternants	principal_parts	accent_metadata	positional_metadata	abbreviation_metadata	normative_source	normative_citation	target_evidence	semantic_evidence	confidence_bp	assumptions	review_note
synodal:family-admission:v04:syn	admitted	synodal:noun:syn	first-hard-u-stem-m-with-exact-consonantal-overrides	сын	masculine		singular,dual,plural	animate	сын-/сынов- in cited cells		exact cell accents only	ѡ in cited plural obliques		alypy-gamanovich-grammar-web-2023	§37.1, §37.5, §37.9	ponomar-accent-syn	sense:son; alypy-37-synovi,alypy-37-synove,alypy-37-synov-oblique	9500	The сынов- alternant is enabled only in cited exact cells	Admitted as the existing classed noun plus five exact irregular/consonantal cells. No uncited alternant is generated.
synodal:family-admission:v04:ves	admitted	synodal:determiner:ves	determiner-ves-mixed-with-exact-overrides	вс			no dual per §48		mixed hard/soft behavior is typed by the dedicated source class		exact cell accents precede productive forms	exact expanded and printed cells		alypy-gamanovich-grammar-web-2023	§§45, 48.7	ponomar-acts-19-27-vsya,ponomar-acts-1-14-vsi,ponomar-acts-1-24-vsekh	sense:all-whole; alypy-45-ves	9000	Mixed inflection and the no-dual restriction are explicit; source-ordered exact variants precede the complete typed background	Admitted as the complete determiner-ves-mixed background with source-ordered exact overrides. The no-dual restriction remains explicit, and unsupported variants still fail closed.
synodal:family-admission:v04:zemlya	admitted	synodal:noun:zemlya	second-soft	земл	feminine		singular,dual,plural	inanimate	земл-/земел- in cited genitive plural		exact cell accents from §39	expanded and printed forms cited per cell		alypy-gamanovich-grammar-web-2023	§39	ponomar-deut-11-17-zemlya	sense:land-earth; alypy-39-zemlya	10000	Normative Synodal table is authoritative; no OCS paradigm import	Admitted as a fully classed target-recension noun family. The §39 table supplies the paradigm and printed accents; unsupported uncited variants still fail.
synodal:family-admission:v05:bog-abbreviations	admitted	synodal:noun:bog	exact-typed-abbreviation-cells	not-inferred	masculine		singular	animate	бог-/боз- exact consonantal alternant only		preserved from exact witnesses	titlo required	seven typed, non-reversible contractions including the pre-existing nominative	alypy-gamanovich-grammar-web-2023	§3	ponomar-acts-2-47-boga-abbreviation-acc,ponomar-acts-5-39-boga-abbreviation-gen,ponomar-acts-5-4-bogu-abbreviation,ponomar-acts-4-19-bogom-abbreviation,ponomar-acts-7-20-bogovi-abbreviation,ponomar-deut-32-21-boze-abbreviation	sense:deity:christian; alypy-3-titlo-abbreviations	10000	Every homographic case remains a separate typed analysis; contraction does not establish uncited noun forms	Admitted as seven exact abbreviation rows with genitive/accusative ambiguity preserved and no blind titlo normalization.
synodal:family-admission:v05:glagol-abbreviations	admitted	synodal:verb:wikt-833c90610c4d	exact-typed-abbreviation-cells	not-inferred					глагол- expansion only		exact target cell accents	titlo required	eight typed, non-reversible verbal contractions with aorist/imperfect homography preserved	alypy-gamanovich-grammar-web-2023	§3.c	ponomar-acts-2-17-glagol-et-abbreviation,ponomar-apoc-2-24-glagol-yu-abbreviation,ponomar-acts-9-27-glagol-a-abbreviation,ponomar-deut-9-13-glagol-akh-abbreviation,ponomar-acts-11-16-glagol-ashe-abbreviation,ponomar-baruch-2-20-glagol-al-abbreviation,ponomar-acts-3-25-glagol-ya-abbreviation	sense:v03:833c90610c4d; review:v03:833c90610c4d; alypy-3-abbreviation-inventory	10000	Every row is an exact target-backed cell; the family remains nonproductive and the homographic first-singular past forms both remain visible	Admitted as exact typed abbreviation cells for the reviewed глаголати identity; the separate глаголъ noun contraction is not conflated.
synodal:family-admission:v05:moi	admitted	synodal:pronoun:moi	exact-complete-pronoun-table	not-productive			singular,dual,plural	agreement-conditioned accusative	м-/мо- from §46		complete cell accents from §47	exact expanded and printed forms		alypy-gamanovich-grammar-web-2023	§§45–47	ponomar-acts-2-26-moi	sense:possessive-first-singular; alypy-45-possessives; alypy-46-possessive-stems; alypy-47-moi	10000	The table is a closed-class exact registry and licenses no unlisted lexeme or cell	Admitted with all 57 independently mapped gendered cells, including explicitly separated animate accusatives.
synodal:family-admission:v05:nash	admitted	synodal:pronoun:nash	exact-complete-pronoun-table	not-productive			singular,dual,plural	agreement-conditioned accusative	наш- throughout the cited table		complete cell accents from §48.3	exact expanded and printed forms		alypy-gamanovich-grammar-web-2023	§§45, 46, 48.3	ponomar-acts-2-8-svoi,ponomar-acts-2-11-nash	sense:possessive-first-plural; alypy-45-possessives; alypy-46-possessive-stems; alypy-48-nash-vash	10000	The mixed pattern is materialized only for the closed possessive lexeme and licenses no productive class	Admitted with all 57 independently mapped gendered cells from the complete normative table.
synodal:family-admission:v05:sebe	admitted	synodal:pronoun:sebe	pronoun-reflexive-with-exact-overrides	closed typed reflexive table			singular table only	no gender, person, or animacy distinction	себ-/с-/соб- source-ordered alternants		complete cell accents from §47	exact expanded and printed forms		alypy-gamanovich-grammar-web-2023	§47.1 and note 4	ponomar-acts-5-36-sebe,ponomar-acts-5-35-sebe-dative,ponomar-acts-16-18-si,ponomar-ex-28-43-sya,ponomar-acts-12-25-soboyu	sense:reflexive-self; alypy-47-reflexive	10000	The normative closed table explicitly has no nominative, dual, or plural forms; source-ordered exact variants precede the complete typed background	Admitted as the complete typed reflexive class with long and short dative and accusative alternatives and exact printed precedence.
synodal:family-admission:v05:svoi	admitted	synodal:pronoun:svoi	exact-complete-pronoun-table	not-productive			singular,dual,plural	agreement-conditioned accusative	св-/сво- from §46		closed-class substitution of §47 accents	exact expanded and printed forms		alypy-gamanovich-grammar-web-2023	§§45, 46, 48.1 with §47 template	ponomar-acts-2-8-svoi	sense:possessive-reflexive; alypy-45-possessives; alypy-48-soft-possessives	10000	Substitution of the explicitly listed свой base for мой is limited to the cited closed class and exact table	Admitted with 57 exact cells under the source's explicit soft-pattern relationship; no productive pronoun rule is exposed.
synodal:family-admission:v05:tvoi	admitted	synodal:pronoun:tvoi	exact-complete-pronoun-table	not-productive			singular,dual,plural	agreement-conditioned accusative	тв-/тво- from §46		closed-class substitution of §47 accents	exact expanded and printed forms		alypy-gamanovich-grammar-web-2023	§§45, 46, 48.1 with §47 template	ponomar-acts-4-28-tvoi	sense:possessive-second-singular; alypy-45-possessives; alypy-46-possessive-stems; alypy-48-soft-possessives	10000	Substitution of the explicitly listed твой base for мой is limited to the cited closed class and exact table	Admitted with 57 exact cells under the source's explicit soft-pattern relationship; no productive pronoun rule is exposed.
synodal:family-admission:v05:vash	admitted	synodal:pronoun:vash	exact-complete-pronoun-table	not-productive			singular,dual,plural	agreement-conditioned accusative	ваш- paired with наш- in §§46 and 48.3		closed-class substitution of §48.3 accents	exact expanded and printed forms		alypy-gamanovich-grammar-web-2023	§§45, 46, 48.3 with нашъ table	ponomar-acts-2-39-vash	sense:possessive-second-plural; alypy-45-possessives; alypy-46-possessive-stems; alypy-48-nash-vash	10000	Substitution of the explicitly paired вашъ base for нашъ is limited to the cited closed class and exact table	Admitted with 57 exact cells under the source's explicit paired mixed-pattern treatment; no productive pronoun rule is exposed.
synodal:family-candidate:00776f98da1caaf158e395d9	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.1.3,Acts.2.17,Acts.3.21,Apoc.2.24		1500	surface similarity is a proposal and does not establish lexical identity	Deferred after review: the target corpus establishes a recurring titlo or superscript surface, but semantic expansion, exact grammatical cells, required marks, and reversibility are not yet independently specified.
synodal:family-candidate:00f030951dc1e582f8459b8a	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.6.2		1000	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 review: repeated target surfaces do not establish lemma identity, semantics, exact morphological cells, principal parts, accent class, or a productive Synodal rule.
synodal:family-candidate:02afbfcde2541c1b31cc09e0	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.20.24		1000	surface similarity is a proposal and does not establish lexical identity	Deferred after review: repeated corpus surfaces and diagnostic stem, prefix, or ending features do not by themselves establish a lemma, part of speech, morphological cell, principal parts, accent class, or productive rule.
synodal:family-candidate:03655b2b74746444e8947f40	deferred															ponomar-elizabeth-bible-2026-08-09:Ponomar Unicode text:Dan.3.26 supplies target-recension surface evidence		1000	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
synodal:family-candidate:0369adb50e041c236eeb5cb2	deferred															ponomar-elizabeth-bible-2026-08-09:Ponomar Unicode text:Acts.7.2 supplies a source-partition target-recension surface occurrence		1500	Diagnostic grouping and frequency are prioritization evidence only; evaluation passages remain excluded from runtime evidence.	Deferred after v0.6 top-200 review: inspected diagnostic surfaces ꙗ҆ви́сѧ. Target frequency and grouping do not establish target-lexeme-identity, target-morphological-cell; no runtime fact is enabled.
synodal:family-candidate:037f20a942205dfc44ee9031	admitted	synodal:proper-noun:jesus	exact-abbreviation-variant	not-inferred	masculine			singular			exact printed form	exact capitalization and breathing	initial breathing and titlo required	alypy-gamanovich-grammar-web-2023	§3	v06-target-jesus-capital-nom-abbreviation	alypy-3-jesus-abbreviation	10000	No case folding or additional proper-name cell is inferred.	Admitted as the exact capitalized nominative contraction only; lowercase and oblique rows remain independently governed.
synodal:family-candidate:0388820c1d80d02c21b3b3d4	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.12.6,Acts.5.19	synodal:candidate:4269288a775682e8cc69cbe1	5500	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 review: OCS dictionary membership supplies candidate evidence only; target-recension identity, semantics, exact typed cells, accents, and any productive metadata remain independently unsupported.
synodal:family-candidate:03dd88fcb409fc33c26cda91	deferred															ponomar-elizabeth-bible-2026-08-09:Ponomar Unicode text:Acts.6.4 supplies target-recension surface evidence		1000	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 structured-route review: a spelling relationship is diagnostic only; exact target identity, printed accent or positional behavior, and every compatible typed cell are not independently cited together.
synodal:family-candidate:040495181581dcac0aead97b	deferred															english-wiktionary-ocs-kaikki-2026-08-07:synodal:candidate:772a7916be3d14b9a2e1d11b supplies an OCS dictionary identity/form candidate in the source partition (Old East Church Slavonic form of дъщи (dŭšti, “daughter”)); ponomar-elizabeth-bible-2026-08-09:Ponomar Unicode text:Acts.7.21 supplies a evaluation-partition target-recension surface occurrence	synodal:candidate:772a7916be3d14b9a2e1d11b	5500	Diagnostic grouping and frequency are prioritization evidence only; evaluation passages remain excluded from runtime evidence.	Deferred after v0.6 top-200 review: inspected diagnostic surfaces дщѝ. Target frequency and grouping do not establish target-lexeme-identity, target-morphological-cell; no runtime fact is enabled.
synodal:family-candidate:0445d2538eab4d2478e96c6f	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.13.50,Dan.1.7,Deut.22.16		1500	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 review: repeated target surfaces do not establish lemma identity, semantics, exact morphological cells, principal parts, accent class, or a productive Synodal rule.
synodal:family-candidate:05068633552a4cbc855135fd	admitted	synodal:pronoun:sei	pronoun-proximal-sei-with-exact-overrides	closed typed proximal table			singular, dual, and plural	agreement-conditioned accusative	се-/си-/сі-/сї- alternants are typed by the closed source class		target-witnessed cell accents precede productive forms	exact positional letters and printed forms		alypy-gamanovich-grammar-web-2023	§48.1 with §47 soft table	ponomar-acts-1-9-sei-siya,ponomar-acts-1-25-sei-sego-genitive,ponomar-acts-1-5-sei-sikh,ponomar-acts-1-14-sei-sii,ponomar-acts-10-47-sei-sim,ponomar-acts-5-36-sei-simi,ponomar-acts-5-4-sei-siyu,ponomar-acts-3-12-sei-sem,ponomar-acts-2-6-sei-semu,ponomar-acts-1-17-sei-seya,ponomar-acts-2-23-sei-sego-accusative	sense:this; alypy-48-sei-soft	10000	The complete source-licensed proximal class supplies every valid cell; independently target-witnessed printed surfaces remain exact-first	Admitted as the complete typed proximal demonstrative with source-ordered exact genitive, accusative, positional-letter, and accent variants.
synodal:family-candidate:05473e16944be7d7c77f8995	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.18.13,Acts.22.15,Acts.4.9,Acts.5.4		1500	surface similarity is a proposal and does not establish lexical identity	Deferred after review: repeated corpus surfaces and diagnostic stem, prefix, or ending features do not by themselves establish a lemma, part of speech, morphological cell, principal parts, accent class, or productive rule.
synodal:family-candidate:05b8d7b5809aa933800fa2f1	rejected															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.7.3	synodal:candidate:8524c8c51afc94ec7fae2b9a,synodal:candidate:f330683bc04d634a59831c19	2500	surface similarity is a proposal and does not establish lexical identity	Rejected as a family grouping: the dictionary collision between югъ and юже does not establish a shared target-recension lexeme or paradigm.
synodal:family-candidate:05e3b01e78046eab465aa6c3	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.3.8		1000	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 review: repeated target surfaces do not establish lemma identity, semantics, exact morphological cells, principal parts, accent class, or a productive Synodal rule.
synodal:family-candidate:06094570b81a62707c22257f	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.2.35	synodal:candidate:1f37a99d275ef6e68a7b00e6	5500	surface similarity is a proposal and does not establish lexical identity	Deferred after review: the OCS Kaikki entry supplies candidate identity or form evidence only. No independently cited Synodal class, exact cell mapping, accent behavior, and target semantic continuity jointly support admission.
synodal:family-candidate:0615a2dcb1e545c3005cf670	deferred															ponomar-elizabeth-bible-2026-08-09:Ponomar Unicode text:Jn.3.13 supplies target-recension surface evidence		1000	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 structured-route review: the target corpus establishes the marked surface, but semantic expansion, all compatible typed cells, exact combining-mark order, positional restrictions, and reverse-registry behavior are not jointly supported by independent target-recension evidence.
synodal:family-candidate:0694f3fab3714f117eee68e7	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Dan.14.33,Ex.16.12		1500	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 review: repeated target surfaces do not establish lemma identity, semantics, exact morphological cells, principal parts, accent class, or a productive Synodal rule.
synodal:family-candidate:06f3c9aeb90c1aba3e399f38	admitted	synodal:noun:levit	first-hard-m	леѵіт	masculine		singular,dual,plural	animate			fixed acute on і	exact -ѡмъ/-ѡвъ spellings and two attested accusative-plural variants		alypy-gamanovich-grammar-web-2023	§§34–37	ponomar-deut-12-18-levit-nominative-singular,ponomar-deut-12-12-leviti-nominative-plural,ponomar-deut-17-18-levitov-genitive-plural,ponomar-deut-10-9-levitom-dative-plural,ponomar-ii-esdra-5-56-levity-accusative-plural,ponomar-ii-paral-19-8-levitov-accusative-plural	ponomar-sci-levit-lexical,sense:v17:noun:levit	10000	Exact omega spellings and accusative variants retain precedence; unattested cells are regular class products, not corpus claims.	Admitted after the SCI identity and six independently governed target cells established the animate hard-masculine Levite family, fixed accent, and bounded listed variants.
synodal:family-candidate:0763e06fa2ec4701b3865b79	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.13.47		1500	surface similarity is a proposal and does not establish lexical identity	Deferred after review: repeated corpus surfaces and diagnostic stem, prefix, or ending features do not by themselves establish a lemma, part of speech, morphological cell, principal parts, accent class, or productive rule.
synodal:family-candidate:089fa8d7e2d55a8593ed34c5	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.1.11,Acts.3.20,Acts.7.11,Acts.7.3		1500	surface similarity is a proposal and does not establish lexical identity	Deferred after review: repeated corpus surfaces and diagnostic stem, prefix, or ending features do not by themselves establish a lemma, part of speech, morphological cell, principal parts, accent class, or productive rule.
synodal:family-candidate:08fd7693a716ebf31393f454	deferred															ponomar-elizabeth-bible-2026-08-09:Ponomar Unicode text:Acts.7.36 supplies a evaluation-partition target-recension surface occurrence; ponomar-elizabeth-bible-2026-08-09:Ponomar Unicode text:Ex.8.7 supplies a evaluation-partition target-recension surface occurrence; ud-ocs-proiel-r2.18:synodal:candidate:1471d861c799826bd4e9f63a supplies a source-partition typed OCS token witness for lemma извести (Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act)		1500	Diagnostic grouping and frequency are prioritization evidence only; evaluation passages remain excluded from runtime evidence.	Deferred after v0.6 top-200 review: inspected diagnostic surfaces и҆зведѐ, и҆зведо́ша. Target frequency and grouping do not establish target-lexeme-identity, target-morphological-cell; no runtime fact is enabled.
synodal:family-candidate:0905f0505956190603380027	deferred															ponomar-elizabeth-bible-2026-08-09:Acts.2.47	synodal:candidate:270ff9ffaeda8fcc17e1977f,synodal:candidate:3c0243e4d35ba439d2d97576,synodal:candidate:42c50e31a94c9dec62f318d0,synodal:candidate:888f1052c6db679cfdf053e7	2500	surface similarity is a proposal and does not establish lexical identity	Deferred after review: multiple lexical identities or grammatical cells remain compatible. Corpus frequency and OCS dictionary candidates cannot resolve the target-recension ambiguity; all candidates must remain visible.
synodal:family-candidate:0a0c9c15ead2c8a35727a349	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.1.7,Acts.17.23,Acts.18.15,Acts.2.17,Acts.3.19		1500	surface similarity is a proposal and does not establish lexical identity	Deferred after review: repeated corpus surfaces and diagnostic stem, prefix, or ending features do not by themselves establish a lemma, part of speech, morphological cell, principal parts, accent class, or productive rule.
synodal:family-candidate:0b9ffcd36fd4126038e1924a	deferred															wikisource-church-slavonic-bible-2026-08-09:Judg.1.7,Judg.6.30		1500	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 review: repeated target surfaces do not establish lemma identity, semantics, exact morphological cells, principal parts, accent class, or a productive Synodal rule.
synodal:family-candidate:0bcf837bb6e7e5f064d44679	admitted	synodal:adjective:egipetskii	possessive-sk	єгѵпетск			singular,dual,plural	any	-ск- → -ст- only before the source-defined soft endings		fixed acute on the second stem vowel with initial psili			alypy-gamanovich-grammar-web-2023	§§11,50–53,57	ponomar-acts-7-40-egipetskiya-genitive-singular-feminine,ponomar-acts-7-22-egipetstei-locative-singular-feminine,ponomar-ex-1-15-egipetskii-nominative-singular,ponomar-deut-28-60-egipetskuyu-accusative-singular-feminine	sense:v16:adjective:egipetskii	10000	Unattested cells are normative products of the suffix-bounded class and are not labeled attested.	Admitted after direct target cells established the stable Egyptian identity, long agreement, fixed accent, initial breathing, and -ск-/-ст- seam; Alypy independently licenses both short and long -ск- paradigms.
synodal:family-candidate:0dd3df2fb5fb5da1b67fc6fa	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Baruch.2.14,Baruch.4.18		1500	Diagnostic grouping and corpus frequency are prioritization evidence only; no resolver analysis is enabled by this row.	Deferred after v0.5 review: repeated target surfaces do not establish lemma identity, semantics, exact morphological cells, principal parts, accent class, or a productive Synodal rule.
synodal:family-candidate:0f17f98cacd49211c56ec7d3	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.3.7		1000	surface similarity is a proposal and does not establish lexical identity	Deferred after review: repeated corpus surfaces and diagnostic stem, prefix, or ending features do not by themselves establish a lemma, part of speech, morphological cell, principal parts, accent class, or productive rule.
synodal:family-candidate:0f1d58e12508f999ee30c7fa	deferred															ponomar-elizabeth-bible-2026-08-09,wikisource-church-slavonic-bible-2026-08-09:Acts.5.37		1000	surface similarity is a proposal and does not establish lexical identity	Deferred after review: repeated corpus surfaces and diagnostic stem, prefix, or ending features do not by themselves establish a lemma, part of speech, morphological cell, principal parts, accent class, or productive rule.
