historical_review_id	lexeme_id	lemma	obsolete_cell	printed	decision	replacement_cells	source_passage	evaluation_passage	review_note
v06-exact-42beb1ca352eb0f0	synodal:verb:wikt-cc294a5ba8a0	ходити	past:third:singular	хожда́ше	reclassified-imperfect	imperfect:third:singular	Acts.3.8	Dan.13.7	The -ше formation and both reviewed contexts identify the finite form as imperfect under Alypy §87 and Pletneva–Kravetsky lesson 6.
v06-exact-48b0f298de5b4c59	synodal:verb:v06-8673185ecc70a12e	прїѧти	past:first:singular	прїѧ́хъ	reclassified-aorist	aorist:first:singular	Acts.20.24	Apoc.10.10	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-4c27e7025df0efa4	synodal:verb:wikt-77c5af0d1191	ити	past:third:singular	и҆́де	reclassified-aorist	aorist:third:singular	Acts.9.39	Deut.4.3	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-4f244b1cc254657a	synodal:verb:wikt-f641099e2194	познати	past:third:singular	позна̀	reclassified-aorist	aorist:third:singular	Deut.33.9	Gen.31.32	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-50c0d10124bc5a8f	synodal:verb:wikt-16664aa52c77	стати	past:third:singular	ста́	reclassified-aorist	aorist:third:singular	Ex.32.26	Ex.32.26	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-50d40bb415c8a381	synodal:verb:wikt-61a99171906f	творити	past:third:singular	творѝ	reclassified-aorist	aorist:third:singular	Esther.3.11	I_Kings.1.23	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-58d8eed36f117d92	synodal:verb:v06-72858c58897d9d01	послоушати	past:third:singular	послꙋ́ша	reclassified-aorist	aorist:third:singular	Dan.1.14	Baruch.3.33	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-65d7c1f7094a76ec	synodal:verb:wikt-2dc4ff592b84	родити	past:third:singular	ро́ди	reclassified-aorist	aorist:third:singular	Gen.37.2	Acts.12.13	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-67fdc8e9588fdd3e	synodal:verb:wikt-0c6c8db63b7c	имѣти	past:third:singular	и҆мѣ̀	reclassified-aorist	aorist:third:singular	Apoc.12.6	II_Macc.10.9	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-6807a650d5010ffb	synodal:verb:wikt-c2efc410480b	искати	past:third:singular	и҆ска́ше	reclassified-imperfect	imperfect:third:singular	Acts.13.11	III_Kings.11.40	The -ше formation and both reviewed contexts identify the finite form as imperfect under Alypy §87 and Pletneva–Kravetsky lesson 6.
v06-exact-6849b215c9f1b25b	synodal:verb:v06-8673185ecc70a12e	прїѧти	past:second:singular	прїѧ́тъ	historical-invalid		Acts.7.38	Acts.8.14	Both cited passages are third singular, and Pletneva–Kravetsky lesson 5 restricts exceptional -тъ in прїѧтъ to third singular; the second-singular admission is removed.
v06-exact-6ece97a6221d56bc	synodal:verb:wikt-e0c91b5eb837	ѡставити	past:third:singular	ѡ҆ста́ви	reclassified-aorist	aorist:third:singular	Acts.14.17	Ex.10.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-70859d2e90da66bc	synodal:verb:v06-8673185ecc70a12e	прїѧти	past:third:singular	прїѧ́тъ	reclassified-aorist	aorist:third:singular	Acts.7.38	Acts.8.14	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-7cf0a2a38f063c26	synodal:verb:v06-8b9d05677b0275a2	заклати	past:third:singular	закла̀	reclassified-aorist	aorist:third:singular	Composite.5.3	III_Kings.18.40	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-7dbb1f00896f6b42	synodal:verb:wikt-f641099e2194	познати	past:second:singular	позна̀	reclassified-aorist	aorist:second:singular	Deut.33.9	Gen.31.32	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-82e8789daf2f837c	synodal:verb:wikt-78da2d05497d	видѣти	past:third:singular	ви́дѣ	reclassified-aorist	aorist:third:singular	Acts.2.31	Acts.10.3	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-8dbab3c86f7a37b0	synodal:verb:v06-a7b239a702ce4216	повелѣти	past:second:singular	повелѣ̀	reclassified-aorist	aorist:second:singular	Acts.1.4	Acts.21.33	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-8dfc6092423466b3	synodal:verb:wikt-fca54147b786	раздѣлити	past:third:singular	раздѣлѝ	reclassified-aorist	aorist:third:singular	Deut.4.19	Deut.19.3	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-92d7b7c9ee19885f	synodal:verb:v06-7572c074fcdb7753	подобати	past:third:singular	подоба́ше	reclassified-imperfect	imperfect:third:singular	Acts.17.3	Acts.1.16	The -ше formation and both reviewed contexts identify the finite form as imperfect under Alypy §87 and Pletneva–Kravetsky lesson 6.
v06-exact-9725b693dd64845c	synodal:verb:wikt-cab2350c2b15	вѣровати	past:second:singular	вѣ́рова	reclassified-aorist	aorist:second:singular	Acts.8.13	Acts.13.12	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-9b8791998a120dbe	synodal:verb:v06-9c74840d41a83b98	пасти	past:third:singular	падѐ	reclassified-aorist	aorist:third:singular	Acts.1.26	Acts.20.9	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-9bae23a5cc72b118	synodal:verb:wikt-06af096688df	рещи	past:third:dual	рѣ́сте	reclassified-aorist	aorist:third:dual	Amos.5.14	I_Kings.10.19	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-a0ff3e5b43973432	synodal:verb:wikt-332544509d0c	принести	past:third:singular	принесѐ	reclassified-aorist	aorist:third:singular	Acts.4.37	Ex.32.6	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-a18cd0c787e1c90d	synodal:verb:wikt-eb542a45226b	ѡбрѣсти	past:second:singular	ѡ҆брѣ́те	reclassified-aorist	aorist:second:singular	Acts.7.46	Acts.10.27	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-a420445428609c49	synodal:verb:wikt-8e44f6232ff8	ѿити	past:third:singular	ѿи́де	reclassified-aorist	aorist:third:singular	Acts.10.7	Composite.8.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-a4eddf849253f7e9	synodal:verb:wikt-06af096688df	рещи	past:second:plural	рѣ́сте	reclassified-aorist	aorist:second:plural	Amos.5.14	I_Kings.10.19	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-a67312c5560c8a8d	synodal:verb:v06-8b9d05677b0275a2	заклати	past:second:singular	закла̀	reclassified-aorist	aorist:second:singular	Composite.5.3	III_Kings.18.40	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-a98084122f74f18c	synodal:verb:wikt-78da2d05497d	видѣти	past:first:plural	ви́дѣхомъ	reclassified-aorist	aorist:first:plural	Acts.4.20	Mt.25.38	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-ab5b1965c9ce1bd5	synodal:verb:wikt-889207ff8e35	благословити	past:third:singular	благословѝ	reclassified-aorist	aorist:third:singular	Dan.2.19	Gen.14.19	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-abc6eb7cd3bbe6aa	synodal:verb:wikt-4ddd824b8609	показати	past:third:singular	показа̀	reclassified-aorist	aorist:third:singular	Acts.10.28	Gen.41.28	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-ae86b4dbfe590898	synodal:verb:wikt-e0c91b5eb837	ѡставити	past:second:singular	ѡ҆ста́ви	reclassified-aorist	aorist:second:singular	Acts.14.17	Ex.10.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-b02ee3cd4fc24507	synodal:verb:wikt-baa1f561a7e4	привести	past:second:singular	приведѐ	reclassified-aorist	aorist:second:singular	Acts.5.26	Ezek.31.4	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-b377403d8e2bb97b	synodal:verb:v06-e893231169afc767	сънити	past:third:singular	Сни́де	reclassified-aorist	aorist:third:singular	Ex.2.5	Acts.7.15	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-bcf2f4ee7d407408	synodal:verb:wikt-3966a05e1c74	сѣсти	past:third:singular	сѣ́де	reclassified-aorist	aorist:third:singular	Acts.2.3	Gen.21.16	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-bd469ab8bd4cf924	synodal:verb:wikt-b132885ebd57	дѣлати	past:third:singular	дѣ́ла	historical-invalid		Amos.3.7	Ex.12.16	дѣла is a noun in Amos 3:7 and the genitive singular noun in Ex 12:16, not a finite form of дѣлати.
v06-exact-cbafd14780daa180	synodal:verb:wikt-7b0a71feaffb	просити	past:third:singular	просѝ	reclassified-aorist	aorist:third:singular	Composite.5.8	III_Kings.3.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-cc46a75769488225	synodal:verb:wikt-3ca5f600ecca	ѡбратити	past:second:singular	ѡ҆братѝ	reclassified-aorist	aorist:second:singular	Acts.19.26	Deut.23.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-cccf40d2cf68ed75	synodal:verb:wikt-16664aa52c77	стати	past:third:singular	ста̑	reclassified-aorist	aorist:third:singular	III_Kings.9.28	I_Paral.21.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-cd1613248f9abbe3	synodal:verb:wikt-076d1c8a0add	поставити	past:third:singular	поста́ви	reclassified-aorist	aorist:third:singular	Acts.7.10	Acts.1.3	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-cf7b435c4026e187	synodal:verb:wikt-b2d0a0ba44c7	исходити	past:third:singular	и҆схожда́ше	reclassified-imperfect	imperfect:third:singular	Amos.5.3	Ex.33.11	The -ше formation and both reviewed contexts identify the finite form as imperfect under Alypy §87 and Pletneva–Kravetsky lesson 6.
v06-exact-cfc426bbae1d9bab	synodal:verb:wikt-3ca5f600ecca	ѡбратити	past:third:singular	ѡ҆братѝ	reclassified-aorist	aorist:third:singular	Acts.19.26	Deut.23.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-d1d12c04a624ff34	synodal:verb:wikt-baa1f561a7e4	привести	past:third:singular	приведѐ	reclassified-aorist	aorist:third:singular	Acts.5.26	Ezek.31.4	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-db4ef318a46c6b43	synodal:verb:wikt-e00c0a63fc09	нарещи	past:third:singular	наречѐ	reclassified-aorist	aorist:third:singular	Dan.5.12	Ex.2.22	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-db7d5038ff4ed3c7	synodal:verb:wikt-78da2d05497d	видѣти	past:second:singular	ви́дѣ	reclassified-aorist	aorist:second:singular	Acts.2.31	Acts.10.3	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-e0d09f52086db411	synodal:verb:wikt-06af096688df	рещи	past:third:dual	рѣ́ста	reclassified-aorist	aorist:third:dual	Acts.4.19	Dan.13.29	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-e8192107cb4e4641	synodal:verb:wikt-cc294a5ba8a0	ходити	past:third:singular	ходѝ	reclassified-aorist	aorist:third:singular	Baruch.4.2	II_Paral.34.2	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-e8b121536138f934	synodal:verb:wikt-7b0a71feaffb	просити	past:second:singular	просѝ	reclassified-aorist	aorist:second:singular	Composite.5.8	III_Kings.3.5	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-ea4b694b16e6b4f9	synodal:verb:wikt-833c90610c4d	глаголати	past:first:singular	глаго́лахъ	split-contextual-homograph	aorist:first:singular,imperfect:first:singular	Acts.25.20	Dan.10.16	The homographic -ахъ form is imperfect in Acts 25:20 but aorist in Dan 10:16 and the independent Deut 1:29 target witness; both contextual analyses are retained.
v06-exact-ec9f03ea8db3f50f	synodal:verb:wikt-06af096688df	рещи	past:first:singular	Рѣ́хъ	reclassified-aorist	aorist:first:singular	Eccles.3.18	Acts.11.8	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-f997e7ec1820e774	synodal:verb:v06-0759085b29f5fd9f	напасти	past:third:singular	нападѐ	reclassified-aorist	aorist:third:singular	Acts.8.39	Acts.10.10	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-fb500b2c68394b22	synodal:verb:wikt-eb542a45226b	ѡбрѣсти	past:third:singular	ѡ҆брѣ́те	reclassified-aorist	aorist:third:singular	Acts.7.46	Acts.10.27	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-exact-ffac41b6a7c19dc4	synodal:verb:wikt-78da2d05497d	видѣти	past:third:dual	ви́дѣсте	reclassified-aorist	aorist:third:dual	Acts.1.11	Deut.29.2	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-manual-exact-34cc52638ee8bcdd	synodal:verb:v06-vzeti	възѧти	past:third:singular	взѧ̀	reclassified-aorist	aorist:third:singular	source partition	evaluation partition	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-manual-exact-3c5197d01587f01a	synodal:verb:v06-55cc70e240bb7ee2		past:third:singular	посла̀	reclassified-aorist	aorist:third:singular	source partition	evaluation partition	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
v06-manual-exact-7968eaf8f96c955f	synodal:verb:v06-vzeti	възѧти	past:third:plural	взѧ́ша	reclassified-aorist	aorist:third:plural	source partition	evaluation partition	Alypy §§86–87 and Pletneva–Kravetsky lesson 5 identify the finite form as aorist; the obsolete source-adapter past label is retired.
