category	subtype	rule_id	target_recension	status	valid_cells	invalid_cells	required_metadata	alternations	accent_contract	source	citation	golden	boundary	implementation	test	failure
noun	second-hard-velar	SYN-NOUN-II-HARD-VELAR-ALYPY-39-40	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/final-velar contradictions	lemma in -а; final-velar stem; masculine or feminine; class	second palatalization before singular/dual ѣ cells; plural spelling boundary	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§39–40	рꙋка → рꙋцѣ	wrong stem final	core/morphology.rs; facade/lib.rs	alpy_39_40_velar_and_mixed_second_declension_goldens; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	second-soft	SYN-NOUN-II-SOFT-ALYPY-39	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; stem; masculine or feminine; class	animacy variants in accusative	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§39–40	землѧ / сꙋдїѧ	neuter is rejected	core/morphology.rs	rejects_second_declension_with_neuter_gender; typed_specs_reject_contradictory_formation_metadata	ContradictoryMetadata
noun	second-soft-postvocalic-ancient-plural	SYN-NOUN-II-SOFT-POSTVOCALIC-ANCIENT-PL-ALYPY-40	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/postvocalic-shape contradictions	lemma in postvocalic -ѧ; stem ending in a vowel; masculine or feminine; class	ancient nominative/accusative/vocative plural -ѧ; genitive plural -й	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§40	молнїѧ	consonantal stems use ordinary second-soft	core/morphology.rs; facade/lib.rs	alpy_32_40_postvocalic_and_gendered_ia_boundaries; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	second-soft-masculine-ia	SYN-NOUN-II-SOFT-M-IA-ALYPY-39-40	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-їа-shape contradictions	lemma in -їа; stem in -ї; masculine; class	instrumental singular -емъ; postvocalic plural spelling	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§39–40	исаїа → исаїемъ	nonmasculine or -ѧ citations use another class	core/morphology.rs; facade/lib.rs	alpy_32_40_postvocalic_and_gendered_ia_boundaries; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	second-soft-feminine-ia	SYN-NOUN-II-SOFT-F-IA-ALYPY-32-39-40	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-іа-shape contradictions	lemma in -іа; stem in -і; feminine; class	instrumental singular -ею; postvocalic dual/plural spelling	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§32, 39–40	маріа → маріею	masculine names and the separate марїамъ/марїамь identity use other classes	core/morphology.rs; facade/lib.rs	alpy_32_40_postvocalic_and_gendered_ia_boundaries; source_listed_nominal_families_cover_every_productive_noun_cell	ContradictoryMetadata
noun	second-mixed	SYN-NOUN-II-MIXED-ALYPY-39-40	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/sibilant-shape contradictions	lemma in -а; sibilant stem; masculine or feminine; class	mixed sibilant endings; optional dative singular -ѣ; plural spelling distinctions	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§39–40	юноша	wrong stem final	core/morphology.rs	alpy_39_40_velar_and_mixed_second_declension_goldens	ContradictoryMetadata
noun	third-feminine	SYN-NOUN-III-F-ALYPY-41	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; stem; feminine; class	animacy variants in accusative	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§41	кость	incompatible gender	core/morphology.rs	productive_rule_inventory_contracts_are_complete	ContradictoryMetadata
noun	third-masculine	SYN-NOUN-III-M-ALYPY-41	synodal-russian	productive	7 cases × licensed singular/dual/plural inventory	class/gender contradictions; lexically absent numbers	lemma; consonantal stem; masculine; class; number inventory	vocative -ь/-ю and genitive plural -ій/-ей ordered variants	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§41	пꙋть	complete paradigm; plural-only людїе restriction	core/morphology.rs	alpy_41_complete_third_masculine_golden; plural_only_nouns_retain_absent_numbers_as_typed_failures	HistoricallyInvalidCell / ContradictoryMetadata
noun	fourth-neuter-en	SYN-NOUN-IV-N-EN-ALYPY-42-43	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	citation lemma; independent extended -ен- stem; neuter; class	citation/oblique stem alternation; wide є in dual citation cells; ordered -ема/-ама and -ємъ/-ѡмъ variants	imya-mobile reusable cell-scoped accent paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§42–43	имѧ : имен-	complete source table including dual/plural variants	core/morphology.rs; facade/resolver.rs	alpy_43_complete_extended_stem_goldens; alpy_43_registry_accent_paradigms_cover_complete_productive_tables	ContradictoryMetadata / OrthographicMetadataRequired
noun	fourth-neuter-es	SYN-NOUN-IV-N-ES-ALYPY-42-43	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	citation lemma; independent extended -ес- stem; neuter; class	citation/oblique stem alternation; wide є in dual citation cells	nebo-mobile reusable cell-scoped accent paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§42–43	небо : небес-	complete source table	core/morphology.rs; facade/resolver.rs	alpy_43_complete_extended_stem_goldens; alpy_43_registry_accent_paradigms_cover_complete_productive_tables	ContradictoryMetadata / OrthographicMetadataRequired
noun	fourth-neuter-es-alternating-first	SYN-NOUN-IV-N-ES-ALT-FIRST-ALYPY-42-44	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/extended-stem contradictions	citation in -о; matching independent -ес- stem; neuter; class	ordered extended fourth-declension and suffixless first-declension forms	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§42–44	чꙋдо : чꙋдес- / чꙋд-	Hypostatic Слово remains first-declension only	core/morphology.rs; facade/lib.rs	alpy_37_44_remaining_productive_noun_profiles_are_bounded; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	fourth-neuter-es-paired-dual	SYN-NOUN-IV-N-ES-PAIRED-DUAL-ALYPY-44	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/paired-stem contradictions	citation ѻко or ꙋхо shape; independent -чес-/-шес- stem; neuter; class	extended singular/plural; suffixless paired dual; ѻко dual -очи/-оцѣ; cited suffixless locative	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§44	ѻко / ꙋхо	no paired-dual inference outside validated stem shapes	core/morphology.rs; facade/lib.rs	alpy_43_44_cell_scoped_irregular_stem_goldens; alpy_42_44_irregular_noun_families_have_exact_first_complete_backgrounds	ContradictoryMetadata
noun	fourth-neuter-at	SYN-NOUN-IV-N-AT-ALYPY-42-43	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/stem-shape contradictions	citation lemma; independent extended -ат- stem; neuter; class	citation/oblique stem alternation; final stem о → ѡ in dual citation cells; ordered -ема/-ама and -ємъ/-ѡмъ variants	exact or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§§42–43	ѻтроча : ѻтрочат-	complete source table and invalid -ен- stem	core/morphology.rs; facade/resolver.rs	alpy_43_44_additional_extended_stem_goldens; additional_fourth_declension_nouns_are_productive_and_bounded	ContradictoryMetadata / OrthographicMetadataRequired
noun	fourth-feminine-er	SYN-NOUN-IV-F-ER-ALYPY-42-43	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	citation lemma; independent extended -ер- stem; feminine; class	citation/oblique stem alternation; wide є in reviewed dual/plural cells; ordered genitive/accusative plural variants	mati-fixed-stem reusable accent paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§42–43	мати : матер-	complete source table and animate accusative order	core/morphology.rs; facade/resolver.rs	alpy_43_complete_extended_stem_goldens; alpy_43_registry_accent_paradigms_cover_complete_productive_tables	ContradictoryMetadata / OrthographicMetadataRequired
noun	fourth-feminine-er-daughter	SYN-NOUN-IV-F-ER-DAUGHTER-ALYPY-42-44	synodal-russian	productive	7 cases × singular/dual/plural	wrong lexeme/stem/gender	modern identity дщерь; historical citation дщи; independent дщер- stem; feminine; class	historical nominative/vocative; extended obliques; ordered plural variants	exact cell or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§§42–44	дщерь → дщи / дщере	no arbitrary -ер- citation substitution	core/morphology.rs; facade/lib.rs	alpy_43_44_cell_scoped_irregular_stem_goldens; alpy_42_44_irregular_noun_families_have_exact_first_complete_backgrounds	ContradictoryMetadata
noun	fourth-feminine-ov	SYN-NOUN-IV-F-OV-ALYPY-42-44	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/stem-shape contradictions	citation lemma; independent -ов- or -в- oblique stem; feminine; class	citation/oblique alternation; final о → ѡ in reviewed dual/plural cells; animate accusative -ей/-и; class-specific -ама/-амъ/-ами/-ахъ	exact or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§§42–44	свекры : свекров-	syncopating modern -овь nouns use a separate class	core/morphology.rs; facade/resolver.rs	alpy_43_44_additional_extended_stem_goldens; additional_fourth_declension_nouns_are_productive_and_bounded	ContradictoryMetadata / OrthographicMetadataRequired
noun	fourth-feminine-ov-syncopating	SYN-NOUN-IV-F-OV-SYNCOPATING-ALYPY-42-44	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-овь-and-short-stem contradictions	modern citation in -овь; independently supplied short -в- stem; feminine; class	cell-scoped full -ов- versus short -в- stems; no cross-product; vocative variants	exact cell or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§§42–44	церковь / любовь	full and syncopated stems are selected only in licensed cells	core/morphology.rs; facade/lib.rs	alpy_43_44_cell_scoped_irregular_stem_goldens; alpy_42_44_irregular_noun_families_have_exact_first_complete_backgrounds	ContradictoryMetadata
noun	fourth-masculine-en	SYN-NOUN-IV-M-EN-ALYPY-42-44	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/stem-shape contradictions	citation lemma; independent -ен- stem; masculine; class	citation/oblique alternation; final е → є in dual/plural citation cells; no lexeme-specific alternatives	exact or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§§42–44	степень : степен-	камень-only alternatives do not leak into the general family	core/morphology.rs	productive_rule_inventory_contracts_are_complete	ContradictoryMetadata / OrthographicMetadataRequired
noun	fourth-masculine-en-day	SYN-NOUN-IV-M-EN-DAY-ALYPY-43	synodal-russian	productive	7 cases × singular/dual/plural	wrong lexeme/stem/gender	citation день; independently supplied short дн- stem; masculine; class	cell-scoped дн-/ден-; dative -и/-еви; dual -їю/-ю; plural -и/-іе and -їй/-ей	exact cell or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§43	день : дн- / ден-	no syncopation inference for general -ень nouns	core/morphology.rs; facade/lib.rs	alpy_37_44_remaining_productive_noun_profiles_are_bounded; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	fourth-masculine-en-kamen	SYN-NOUN-IV-M-EN-KAMEN-ALYPY-43	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/stem-shape contradictions	citation камень; independent камен- stem; closed lexeme-specific contract	ordered genitive -е/-ѧ; dative -и/-ю; dual -ьма/-ема; plural -и/-їѧ and -ехъ/-їѧхъ; collective каменїе excluded	exact or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§43 камень table and notes	камень : камен-	separate collective never emitted	core/morphology.rs; facade/resolver.rs	alpy_43_44_additional_extended_stem_goldens; additional_fourth_declension_nouns_are_productive_and_bounded	ContradictoryMetadata / OrthographicMetadataRequired
noun	indeclinable	SYN-NOUN-INDECLINABLE-ALYPY-37	synodal-russian	productive-invariant	all licensed case × number × animacy requests return the lemma	empty or mismatched invariant stem	lemma; identical invariant stem; lexical gender; class	no surface alternation; number restrictions remain typed	exact lemma or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§37	адѡнаі	optional declension requires an explicit separate class or caller irregular cells	core/morphology.rs; facade/lib.rs	alpy_37_44_remaining_productive_noun_profiles_are_bounded; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
adjective	short-hard-positive	SYN-ADJ-SHORT-HARD-ALYPY-53	synodal-russian	productive	72 canonical cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	other comparison degrees use separate systems	lemma; stem; hard class	hard short endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§53	мꙋдръ	missing class	core/morphology.rs	productive_rule_inventory_contracts_are_complete	MissingPrincipalPart
adjective	short-soft-positive	SYN-ADJ-SHORT-SOFT-ALYPY-53	synodal-russian	productive	72 canonical cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	other comparison degrees use separate systems	lemma; stem; soft class	soft short endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§53	синь	missing class	core/morphology.rs	productive_rule_inventory_contracts_are_complete	MissingPrincipalPart
adjective	short-velar-positive	SYN-ADJ-SHORT-VELAR-ALYPY-53-57	synodal-russian	productive	72 canonical cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	other comparison degrees use separate systems	lemma; г/к/х-final stem; velar class	short endings plus source-bounded и spelling after the final velar	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§53, 57	благъ	wrong stem edge or class	core/morphology.rs	alpy_57_velar_adjective_table_controls_endings_and_palatalization	ContradictoryMetadata
adjective	short-masculine-principal-part	SYN-ADJ-SHORT-MASCULINE-STEM-ALYPY-52	synodal-russian	productive-typed-alternation	masculine nominative singular short positive cell	all other cells retain the general adjective stem	general stem; independent short-masculine stem; DoubleNReduction or MobileEInsertion	-нн- → -н- or insertion of mobile е only at the typed citation edge	inherits the lexeme's exact or reusable accent contract	Alypy Gamanovich grammar	§52	блаженн- : блажен-; честн- : честен-	shape mismatch or untyped alternation	core/morphology.rs; facade/spec.rs; facade/registry.rs	alpy_52_short_masculine_stem_formations_are_typed	ContradictoryMetadata
adjective	long-hard-positive	SYN-ADJ-LONG-HARD-ALYPY-57	synodal-russian	productive	72 canonical cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	none	lemma; stem; hard class	hard long endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§57	мꙋдръ	missing accent for liturgical	core/morphology.rs	declines_long_hard_adjective_from_alypy_57; productive_rule_inventory_contracts_are_complete	OrthographicMetadataRequired
adjective	long-soft-positive	SYN-ADJ-LONG-SOFT-ALYPY-57	synodal-russian	productive	72 canonical cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	none	lemma; stem; soft class	soft long endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§57	синь	missing accent for liturgical	core/morphology.rs	productive_rule_inventory_contracts_are_complete	OrthographicMetadataRequired
adjective	long-velar-positive	SYN-ADJ-LONG-VELAR-ALYPY-57	synodal-russian	productive	72 canonical cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	none	lemma; г/к/х-final stem; velar class	full §57 velar endings; first palatalization before е; second palatalization before ѣ and masculine plural nominative/vocative	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§57	благїй : блаже : блазѣ : блазїи	blind phonological rewriting outside the typed class	core/morphology.rs	alpy_57_velar_adjective_table_controls_endings_and_palatalization	ContradictoryMetadata / OrthographicMetadataRequired
adjective	long-comparative	SYN-ADJ-COMPARATIVE-LONG-ALYPY-58	synodal-russian	productive	72 canonical cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	none	independent comparison stem; typed formation	mixed comparison endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§58	мꙋдрѣйш	missing comparison stem	core/morphology.rs	declines_comparison_stem_with_alypy_58_mixed_endings; productive_rule_inventory_contracts_are_complete	MissingPrincipalPart
adjective	short-comparative	SYN-ADJ-COMPARATIVE-SHORT-ALYPY-58-60	synodal-russian	productive	72 canonical cells; singular/dual/plural; seven cases including vocative; accusative animacy	none	independent comparison stem; AncientHard/AncientSoft/LaterYat/LaterAi formation	masculine/neuter citation-edge deletion; §60 locative, dual, vocative, and masculine-plural variants	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§58 and 60 complete short-comparison declension	мꙋдрѣй / мꙋдрѣйши / мꙋдрѣе; мꙋдрѣйше	mismatched formation suffix	core/morphology.rs	alpy_60_complete_short_comparison_golden; comparison_citation_formation_seams	ContradictoryMetadata
adjective	long-superlative	SYN-ADJ-SUPERLATIVE-LONG-ALYPY-59	synodal-russian	productive	72 canonical cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	none	independent reviewed superlative/comparison stem	comparison endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§59	преблагъ	missing stem	core/morphology.rs	productive_rule_inventory_contracts_are_complete	MissingPrincipalPart
adjective	short-superlative-predicate	SYN-ADJ-SUPERLATIVE-SHORT-PREDICATE-ALYPY-59-60-125-128	synodal-russian	productive-source-bounded	9 canonical nominative cells: 3 genders × singular/dual/plural	all oblique and vocative cells	independent comparison stem; AncientHard/AncientSoft/LaterYat/LaterAi formation; nominative agreement	ordinary §60 nominatives plus directly attested suffix-retaining singular masculine pattern	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§59 direct 27 February predicate witness; §§60, 125, 128 morphology and syntax	и҆́стиннѣйшъ	oblique or vocative request; mismatched formation suffix	core/morphology.rs	short_superlative_is_bounded_to_nominative_predicate_agreement; productive_rule_inventory_contracts_are_complete	HistoricallyInvalidCell / ContradictoryMetadata
verb	present	SYN-VERB-PRESENT-ALYPY-80	synodal-russian	productive	3 persons × singular/dual/plural	none	conjugation; present medial stem; independent 1sg and 3pl edges	lexical edge alternations retained	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§79–80	нести	missing each independent edge	core/morphology.rs	present_uses_independent_edge_principal_parts	MissingPrincipalPart
verb	aorist-vowel	SYN-VERB-AORIST-VOWEL-ALYPY-86	synodal-russian	productive	3 persons × singular/dual/plural	irregular formation	aorist stem; VowelStem formation	independent past stem	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§86	дѣлати	irregular formation	core/morphology.rs	productive_rule_inventory_contracts_are_complete	UnsupportedFormation
verb	aorist-consonant	SYN-VERB-AORIST-CONSONANT-ALYPY-86	synodal-russian	productive	3 persons × singular/dual/plural	irregular formation	aorist stem; ConsonantStem formation	2sg/3sg final-velar palatalization	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§86	нести	missing aorist stem	core/morphology.rs	conjugates_consonant_aorist_from_alypy_86	MissingPrincipalPart
verb	imperfect-h	SYN-VERB-IMPERFECT-H-ALYPY-87	synodal-russian	productive	3 persons × singular/dual/plural	perfective aspect; irregular formation	aspect; independent imperfect stem; H formation	independent past stem	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§87	бѣхъ	perfective verb	core/morphology.rs	rejects_perfective_imperfect	HistoricallyInvalidCell
