review_id	decision	route	family_id	lexeme_id	lemma	part_of_speech	surface	frequency	cell	semantic_evidence_id	morphology_evidence_id	target_evidence_id	evaluation_candidate_id	source_passage	evaluation_passage	predicted_unique_tokens	realized_unique_tokens	blocker	review_note
v06-exact-04cb9846b4c8b6db	admitted	source-typed-exact	v06-family-c57d9a901b55f999	synodal:adjective:wikt-804d9a9cde41	живъ	adjective	жи̑ва	65	adjective:genitive:singular:masculine:any:short:positive	review:v03:804d9a9cde41	v06-ud-fde2ef9ca74fc9c1	v06-target-2fa68763aea2c4f2	synodal:candidate:49762bc8c199a7001d257779	Acts.7.38	Apoc.19.20	65	65		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-056064a8ace4771d	admitted	source-typed-exact	v06-family-56d008b352afb789	synodal:verb:wikt-77c5af0d1191	ити	verb	и҆́деши	60	imperative:second:singular	review:v03:77c5af0d1191	v06-ud-8484de695c2eab1c	v06-target-a6ef339cd88199b2	synodal:candidate:3254a10549367f2e563ebcee	Eccles.4.17	I_Kings.17.43	60	60		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0642d378eeb6d2a1	admitted	source-typed-exact	v06-family-ac768fc820943b86	synodal:noun:rab	рабъ	noun	ра̑бъ	46	noun:genitive:plural:animate		v06-ud-651c0665c24b9676	v06-target-b703b182b585c1dc	synodal:candidate:d20cc0fe0b8b0ed928bd9b11	Dan.9.6	Ezek.46.17	0	46		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-06a0b24fde2ef68e	admitted	source-typed-exact	v06-family-9b079522ef514db2	synodal:verb:dati	дати	verb	дана̑	53	participle:past:passive:nominative:singular:feminine:any:short:positive		v06-ud-50b7c18851b602de	v06-target-25f54fe8814f3532	synodal:candidate:5cb5db5d7434597b477922e6	Apoc.12.14	Apoc.13.14	53	53		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0742e1af74de7ef1	admitted	source-typed-exact	v06-family-ef8e848ce717ee09	synodal:adjective:wikt-f2a9817d8801	добръ	adjective	добро̀	212	adjective:accusative:singular:neuter:inanimate:short:positive	review:v03:f2a9817d8801	v06-ud-00e2fa62befe3eb3	v06-target-93b479481342b89f	synodal:candidate:6679a79e107bcc0bd04e6c73	Deut.12.25	Deut.1.14	212	212		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0767e32fc0d546b6	admitted	source-typed-exact	v06-family-8378597dbb89183f	synodal:pronoun:v06-7cb9fbdd604c5a70	и	pronoun	нею̀	157	pronoun:locative:dual:feminine:third:any	v06-semantic-pronoun-i	v06-ud-27bbb82293a4b4be	v06-target-68049b009e711292	synodal:candidate:e8304c7fac776d717e546420	Acts.14.19	Acts.3.5	0	157		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-091425d83f7d7f93	admitted	source-typed-exact	v06-family-14960f7326ef8f40	synodal:noun:v06-673b2df93b4f89a8	знаменїе	noun	зна́менїе	240	noun:accusative:singular:inanimate	review:v06:673b2df93b4f89a8	v06-ud-64f0953219c28e06	v06-target-dbaa6c5d53e1f98a	synodal:candidate:6cd39c4de0dea847f0081dac	Acts.4.16	Apoc.12.3	240	240		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-093eeaad0d8ce04f	admitted	source-typed-exact	v06-family-d40480323b8991a0	synodal:noun:wikt-7edbe8aea3ab	страхъ	noun	стра́хомъ	59	noun:instrumental:singular:inanimate	review:v03:7edbe8aea3ab	v06-ud-dc87b1b58495ee85	v06-target-7b61ae19bb2ccdc1	synodal:candidate:41b718e2cc4b427e69be9e86	Ezek.27.28	Eph.6.5	59	59		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-09483ffc8e39065c	admitted	source-typed-exact	v06-family-6299df61d679a844	synodal:verb:v06-8673185ecc70a12e	прїѧти	verb	прїи́меши	46	future:second:singular	review:v06:8673185ecc70a12e	v06-ud-2736a449dd4c57f1	v06-target-bc6b8963493b1bb3	synodal:candidate:e64ac5706b30ff48eb5e7372	Composite.4.11	Ezek.16.54	46	46		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-09a2ade0d2689739	admitted	source-typed-exact	v06-family-8c2b85aae7677e62	synodal:adjective:wikt-c50de9a2243e	малъ	adjective	ма́ло	58	adjective:accusative:singular:neuter:inanimate:short:positive	review:v03:c50de9a2243e	v06-ud-8a38bbd9996852db	v06-target-faff8ed34ca761be	synodal:candidate:4d7f6a508bb3f9ec579008da	Acts.14.28	Ezek.40.43	58	58		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-09b9dd716e54afb5	admitted	source-typed-exact	v06-family-a6446c454359059c	synodal:noun:wikt-3090f99843dd	кость	noun	кѡ́сти	166	noun:accusative:plural:inanimate	review:v03:3090f99843dd	v06-ud-146ee7e3a542a962	v06-target-8fa487a7e1e711fc	synodal:candidate:db0abe3e8cdb1efcac90712f	Amos.2.1	Baruch.2.24	166	166		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0a58b00e032960c7	admitted	source-typed-exact	v06-family-a1557d9788f7d51f	synodal:verb:wikt-cc294a5ba8a0	ходити	verb	ходѝ	62	imperative:second:singular	review:v03:cc294a5ba8a0	v06-ud-bac95b0b3b542002	v06-target-0fb36081ad4e7472	synodal:candidate:a8a88d135194d6ef594864b0	Baruch.4.2	II_Paral.34.2	62	62		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0b0f29882562869e	admitted	source-typed-exact	v06-family-ca3cf09618d3461f	synodal:verb:wikt-0e30b392f62c	избавити	verb	и҆зба́вилъ	60	l-participle:masculine:singular	review:v03:0e30b392f62c	v06-ud-1414dc5ca999db34	v06-target-e8ebfdeb55be6ec5	synodal:candidate:3360b8c4865b090708439830	Deut.9.26	Ex.5.23	60	60		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0cb4915a0058444d	admitted	source-typed-exact	v06-family-c57d9a901b55f999	synodal:adjective:wikt-804d9a9cde41	живъ	adjective	жива̀	54	adjective:genitive:singular:masculine:any:short:positive	review:v03:804d9a9cde41	v06-ud-fde2ef9ca74fc9c1	v06-target-e88d47d6b75db50f	synodal:candidate:8f59b2cac93a1bf456845594	Apoc.16.3	Deut.5.26	54	54		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0e5bec22186e126b	admitted	source-typed-exact	v06-family-a0e13433f9298e17	synodal:noun:zhizn	жизнь	noun	жи́зни	114	noun:genitive:singular:inanimate		v06-ud-2b050262425e8d6e	v06-target-cae96d9efe593115	synodal:candidate:1370a2de531768b428965f5e	Acts.5.20	Acts.3.15	114	114		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0eb4c7d99724ca76	admitted	source-typed-exact	v06-family-c57d9a901b55f999	synodal:adjective:wikt-804d9a9cde41	живъ	adjective	жи̑ва	65	adjective:nominative:singular:feminine:any:short:positive	review:v03:804d9a9cde41	v06-ud-e5145234821faf13	v06-target-2fa68763aea2c4f2	synodal:candidate:49762bc8c199a7001d257779	Acts.7.38	Apoc.19.20	0	0		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0f6b44e719f313f2	admitted	source-typed-exact	v06-family-0f91a34d8e162efe	synodal:numeral:wikt-2fe80b81eaf8	седмь	numeral	седмѝ	87	numeral:cardinal:genitive:singular:feminine:any	review:v03:2fe80b81eaf8	v06-ud-a92775490f921098	v06-target-b0d4aaf175533d5c	synodal:candidate:0262fbc7b07e54b84cfe73b7	Acts.21.8	Apoc.1.4	87	87		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0f89e04c96a284c3	admitted	source-typed-exact	v06-family-07223248863b5123	synodal:verb:wikt-eb542a45226b	ѡбрѣсти	verb	ѡ҆брѧ́щете	42	future:second:plural	review:v03:eb542a45226b	v06-ud-ac2b65219e50e3e9	v06-target-c46c88d2f5eb43d0	synodal:candidate:563481cd7547c1531ecd3869	Deut.4.29	Ex.5.11	42	42		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0f9cd96db262e785	admitted	source-typed-exact	v06-family-93c93fee06e6f5e4	synodal:pronoun:az	азъ	pronoun	мы́	125	pronoun:nominative:plural:masculine:first:any		v06-ud-7b0c5fd547c8cf9e	v06-target-786c203500611083	synodal:candidate:2a0fdeff214297960dea74ba	Acts.6.4	Ezek.11.3	125	125		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-0fba8806ea11f54f	admitted	source-typed-exact	v06-family-29c079eb268eb71b	synodal:noun:wikt-3c0ac0c2e796	тѣло	noun	тѣлеса̀	56	noun:nominative:plural:animate	review:v03:3c0ac0c2e796	v06-ud-a41633cb2c367980	v06-target-b9a3de73877d51b0	synodal:candidate:e8708ffc47b96b79e5f0b6a8	Apoc.11.9	Heb.13.11	0	56		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-10218100608d9852	admitted	source-typed-exact	v06-family-06a2c84b8917f248	synodal:verb:wikt-f641099e2194	познати	verb	позна́хъ	48	past:first:singular	review:v03:f641099e2194	v06-ud-cb729e8d125a9bdb	v06-target-60656d546e6e1555	synodal:candidate:111d8490f662ba8270feae62	Ezek.10.20	Amos.3.2	48	48		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1032e9fe9db43984	admitted	source-typed-exact	v06-family-d42fb5854d5fdad2	synodal:adjective:v06-6d8cbd0ea412c4e9	подобьнъ	adjective	подо́бенъ	110	adjective:nominative:singular:masculine:any:short:positive	review:v06:6d8cbd0ea412c4e9	v06-ud-40c0e2c8b07b3063	v06-target-8c5a123f43f69346	synodal:candidate:6f0bfe8b2b68c232b7210dd6	Apoc.4.3	Apoc.14.14	110	110		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1068c10c03f0ae00	admitted	source-typed-exact	v06-family-8228b64af2bf5be8	synodal:verb:wikt-2dc4ff592b84	родити	verb	роди́тъ	56	future:third:singular	review:v03:2dc4ff592b84	v06-ud-cab2457b3f2f675b	v06-target-b3d97d9ef9250e98	synodal:candidate:7bf02329c73e6eeac8bf5c46	Apoc.12.4	Ezek.18.14	56	56		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-10763af363239ab8	admitted	source-typed-exact	v06-family-8378597dbb89183f	synodal:pronoun:v06-7cb9fbdd604c5a70	и	pronoun	нею̀	157	pronoun:genitive:dual:masculine:third:any	v06-semantic-pronoun-i	v06-ud-e7f499c4e07377f5	v06-target-68049b009e711292	synodal:candidate:e8304c7fac776d717e546420	Acts.14.19	Acts.3.5	0	0		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-109f65af9cae3d61	admitted	source-typed-exact	v06-family-29c079eb268eb71b	synodal:noun:wikt-3c0ac0c2e796	тѣло	noun	тѣлеса̀	56	noun:accusative:plural:animate	review:v03:3c0ac0c2e796	v06-ud-61a1bcd8df8f5b40	v06-target-b9a3de73877d51b0	synodal:candidate:e8708ffc47b96b79e5f0b6a8	Apoc.11.9	Heb.13.11	56	0		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-118f609d96499e45	admitted	source-typed-exact	v06-family-9c387b34d5a696c0	synodal:verb:wikt-3ca5f600ecca	ѡбратити	verb	ѡ҆братѝ	85	imperative:second:singular	review:v03:3ca5f600ecca	v06-ud-0304672cc6a07b51	v06-target-f15108c32fdc4f50	synodal:candidate:42efc5325a465fc89fe84787	Acts.19.26	Deut.23.5	85	85		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-11b5e82d8ab0bc83	admitted	source-typed-exact	v06-family-ac768fc820943b86	synodal:noun:rab	рабъ	noun	рабѡ́мъ	95	noun:instrumental:singular:animate		v06-ud-87dd4d8e096bec3c	v06-target-97504c7b8b9c264e	synodal:candidate:c8861999d38ffb39edb35e41	Acts.4.29	Col.4.1	0	95		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-11cdf2291cdca877	admitted	source-typed-exact	v06-family-d5b1a6d4e3736a15	synodal:verb:wikt-a601ebe6bbf1	плакати	verb	пла́ча	54	participle:present:active:nominative:singular:masculine:any:short:positive	review:v03:a601ebe6bbf1	v06-ud-b5784e88c4be585f	v06-target-549d874ac6e0ac6a	synodal:candidate:681b8b4d1955fbeeb20893f4	Apoc.21.4	Eccles.7.3	0	54		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1355d2d005485a9c	admitted	source-typed-exact	v06-family-ca3cf09618d3461f	synodal:verb:wikt-0e30b392f62c	избавити	verb	и҆зба́ви	204	past:third:singular	review:v03:0e30b392f62c	v06-ud-3becd6470e44278f	v06-target-0fd75cd0d3e4a79e	synodal:candidate:0f96a0fdc51eaa0c8ea46e51	Baruch.2.14	Dan.3.88	0	0		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1481428fd1f3b738	admitted	source-typed-exact	v06-family-8378597dbb89183f	synodal:pronoun:v06-7cb9fbdd604c5a70	и	pronoun	неѧ̀	143	pronoun:genitive:singular:feminine:third:any	v06-semantic-pronoun-i	v06-ud-fe2a6e6ee3d308cd	v06-target-c271a238dead0876	synodal:candidate:ba54fc78f37741194eefae20	Acts.2.24	Composite.1.2	143	143		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-14a648193d19ce90	admitted	source-typed-exact	v06-family-6290441594f57755	synodal:noun:v06-6f6cb44e5f184035	помощь	noun	По́мощь	137	noun:nominative:singular:inanimate	review:v06:6f6cb44e5f184035	v06-ud-360547ee6e297a17	v06-target-f65e2050bb76f6c0	synodal:candidate:44852bf54a92157c4f7ea57c	Acts.26.22	Psalm.120.2	0	137		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-14b8f100f04ab521	admitted	source-typed-exact	v06-family-abeeea5d1129992c	synodal:noun:v06-7621ccb58f48f437	скрижаль	noun	скрижа̑ли	58	noun:accusative:plural:inanimate	review:v06:7621ccb58f48f437	v06-ud-ae4ce5bf94e0a9f2	v06-target-132b81a7fcda657e	synodal:candidate:b5c4ff0c123bb938dc2b7c37	Deut.9.9	Deut.10.1	58	58		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1511af3db1e46e14	admitted	source-typed-exact	v06-family-af070da9e711f5a8	synodal:verb:wikt-889207ff8e35	благословити	verb	благословѝ	93	imperative:second:singular	review:v03:889207ff8e35	v06-ud-fc62258131f78fce	v06-target-d78cd0291e53ecd7	synodal:candidate:25647abfad7fa6a4cfd48c08	Dan.2.19	Gen.14.19	93	93		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1529367cdd44cc44	admitted	source-typed-exact	v06-family-296549ef1bf07606	synodal:noun:wikt-6581de9ff070	врагъ	noun	вразѝ	161	noun:nominative:plural:animate	review:v03:6581de9ff070	v06-ud-0ae840f53b8e318e	v06-target-9702767375942b49	synodal:candidate:2fb361c6f7de0ff887c0f006	Apoc.11.12	Heb.10.13	161	161		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1561bc5c30c339c0	admitted	source-typed-exact	v06-family-ac24451e083a7989	synodal:verb:wikt-78da2d05497d	видѣти	verb	ви́дѣлъ	158	l-participle:masculine:singular	review:v03:78da2d05497d	v06-ud-5d58cb107039aee1	v06-target-d8d917e79359d27f	synodal:candidate:840cd782f9769a3597ec4425	Acts.22.15	Apoc.1.20	158	158		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1633194fd2d3b702	admitted	source-typed-exact	v06-family-8c2b85aae7677e62	synodal:adjective:wikt-c50de9a2243e	малъ	adjective	ма́ла	95	adjective:nominative:singular:feminine:any:short:positive	review:v03:c50de9a2243e	v06-ud-3b5c3506e8bbfaa9	v06-target-1bd143053c68144f	synodal:candidate:0dabd95fe60669e5177eeb1e	Acts.8.10	Acts.12.18	0	95		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1655c04062c58350	admitted	source-typed-exact	v06-family-ef8e848ce717ee09	synodal:adjective:wikt-f2a9817d8801	добръ	adjective	до́брѣ	130	adjective:locative:singular:feminine:any:short:positive	review:v03:f2a9817d8801	v06-ud-45c7e520586372a6	v06-target-a701f1a49049956a	synodal:candidate:b26c4d9f4377c829edd62153	Acts.10.33	Acts.25.10	0	0		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-16b4452d604251c1	admitted	source-typed-exact	v06-family-ca3cf09618d3461f	synodal:verb:wikt-0e30b392f62c	избавити	verb	и҆зба́ви	204	future:third:singular	review:v03:0e30b392f62c	v06-ud-e1085711b6cd926c	v06-target-0fd75cd0d3e4a79e	synodal:candidate:0f96a0fdc51eaa0c8ea46e51	Baruch.2.14	Dan.3.88	204	0		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-170aca52e607821e	admitted	source-typed-exact	v06-family-1a7b128995752732	synodal:noun:selo	село	noun	се́ла	107	noun:genitive:singular:inanimate		v06-ud-31fb31e06dad9d4f	v06-target-8bc90beeedf358fd	synodal:candidate:719f2b0f8ea74f72fe6ae653	Acts.28.7	II_Esdra.4.50	0	107		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1710e2c89c7d1e21	admitted	source-typed-exact	v06-family-6b14127df1101eda	synodal:verb:wikt-16664aa52c77	стати	verb	ста́нетъ	101	future:third:singular	review:v03:16664aa52c77	v06-ud-47fe8b0a16c57597	v06-target-8bb7098ee4e5fdb3	synodal:candidate:3c14183152759adc97e0f09c	Dan.2.44	Dan.11.4	101	101		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-175865241fa6a4f6	admitted	source-typed-exact	v06-family-8f2d5bca8894110f	synodal:verb:wikt-e0c91b5eb837	ѡставити	verb	ѡ҆ста́витъ	114	future:third:singular	review:v03:e0c91b5eb837	v06-ud-4a37046e0a368ca6	v06-target-6a184c0f4e0882b0	synodal:candidate:9f538074581b74ff0393fa05	Apoc.11.8	Deut.28.51	114	114		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-1786d6d7277ffcef	admitted	source-typed-exact	v06-family-d8c5006e8e55aca6	synodal:noun:wikt-f5010315b352	пѣснь	noun	пѣ́сни	44	noun:accusative:plural:inanimate	review:v03:f5010315b352	v06-ud-0400908f1da4a201	v06-target-8bce8df45e88dd75	synodal:candidate:31399ec73106f22954111d81	Amos.5.23	Apoc.14.3	44	0		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-17874ee75437a93c	admitted	source-typed-exact	v06-family-ac24451e083a7989	synodal:verb:wikt-78da2d05497d	видѣти	verb	ви́дите	181	imperative:second:plural	review:v03:78da2d05497d	v06-ud-875e025e8bba8bb9	v06-target-092555778a955aa9	synodal:candidate:789718efbac3d28d29fc981b	Acts.2.33	Acts.3.16	181	181		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-17b6243d7f2c60f6	admitted	source-typed-exact	v06-family-a0e13433f9298e17	synodal:noun:zhizn	жизнь	noun	жи́зни	114	noun:locative:singular:inanimate		v06-ud-e4aa25af2a0c23f1	v06-target-cae96d9efe593115	synodal:candidate:1370a2de531768b428965f5e	Acts.5.20	Acts.3.15	0	0		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
v06-exact-185ca53a27a9f0ca	admitted	source-typed-exact	v06-family-e9cf3c69bdb101cf	synodal:verb:v06-9eafebde7d74bfcb	поѩти	verb	поимѝ	51	imperative:second:singular	review:v06:9eafebde7d74bfcb	v06-ud-0cde48563455d12d	v06-target-97e16495a16b8d08	synodal:candidate:aa7580522eb9e7a5796558a3	Ex.17.5	Gen.27.9	51	51		Admitted only the exact typed cell. Identity, source morphology, target spelling, and held-out target occurrence remain separate evidence roles; no productive class or unattested cell is implied.
